"Code","Genus","Species","Name","Habitat","Type","Forest","Gmin","TLP","LSWC","MajVLA","N","C","P","K","TWI","SD"
30,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",2.27676998206131,-1.97052,160.4218,5.021528718,1.1,51.31,0.6054641875,5.81396738461538,8.124021,224.358974358974
33,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Paracou",2.07655644335678,-1.93308,225.3025,5.1280722935,1.59,50.5,0.599364822677323,11.3576097748405,8.083855,346.153846153846
50,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Paracou",0.856258957053565,-2.15772,161.2775,5.4946586485,1.72,47.14,0.488936314870259,5.41314110241056,7.951713,192.307692307692
51,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",7.01415173967134,-1.6086,156.4003,4.4637732345,1.74,51.84,0.4826641875,3.54846738461538,7.951713,211.538461538462
74,"Licania","membranacea","Licania_membranacea","TF","TF","Paracou",3.34900976871588,-1.95804,157.7732,3.983878885,1.25,49.9,0.405703511399567,12.1453722986948,9.552659,NA
88,"Virola","michelii","Virola_michelii","TF","Generalist","Paracou",2.14565996692782,-1.7334,155.03,7.7602364345,2.11,53.23,0.678926529931633,5.79148610019295,11.244987,272.435897435897
94,"Licania","membranacea","Licania_membranacea","TF","TF","Paracou",3.92759724557281,-1.9206,145.0477,4.8579531645,1.75,47.4,0.6132002669336,8.97256292006292,10.639692,NA
96,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Paracou",3.257,-1.59404,158.2896,8.218057992,1.6,54.01,0.824736539746159,9.91341719152591,6.746623,163.461538461538
98,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Paracou",0.680277179590521,-1.60444,152.264,8.8247712975,1.26,54.39,0.63045661005661,7.25633402311974,5.770796,118.589743589744
101,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",1.74104492295051,-2.01836,137.3893,6.6632159475,1.12,51.68,0.664590181394575,6.4439244704372,5.588491,349.358974358974
106,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",7.2152937636833,-1.45884,160.057,3.368115591,1.83,50.62,0.482513296721584,5.11591648241923,6.838751,NA
113,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Paracou",5.42438269997081,-1.7854,243.707,5.6327425485,2.24,50.31,0.770930670660676,10.6875590186149,5.588491,304.48717948718
