Code,Genus,Species,Name,Habitat,Type,Forest,Gmin,TLP,LSWC,MajVLA,Nitrogen,Carbon,Phosphorous,Potassium,SD
B388,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Bafog,0.154533178,-0.617367042,5.646083797,1.419628973,0.636576829,3.90519978,-0.468283141,2.223351875,NA
B393,Virola,michelii,Virola_michelii,BF,TF,Bafog,0.812310153,-0.380489122,5.222118055,1.742351355,0.482426149,3.813748436,-0.549323008,1.571203772,5.417610977
B397,Virola,michelii,Virola_michelii,BF,TF,Bafog,1.97962977,-0.442503956,5.157561656,2.009156786,0.751416089,3.908817874,-0.312665322,1.789191167,NA
B398,Virola,michelii,Virola_michelii,BF,TF,Bafog,1.964135623,-0.383328559,4.998980979,1.927379973,0.576613364,3.971988587,-0.522117147,1.607661405,NA
B403,Virola,michelii,Virola_michelii,BF,TF,Bafog,1.53112193,-0.446504679,5.29808634,1.747478688,0.797507196,4.015842334,-0.364404026,1.850312338,NA
B417,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Bafog,0.811609541,-0.356022731,5.040581076,1.762418651,0.431782416,3.93808054,-0.657806653,0.961150627,NA
B431,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Bafog,0.290479905,-0.62296074,5.518969818,0.795152204,0.698134722,3.884857337,-0.615773318,1.851953111,5.621706333
B451,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.363528167,-0.551284032,4.842897279,1.459986657,0.182321557,3.801314883,-0.574784725,1.22076063,5.841768218
B455,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.258715503,-0.592376117,4.978760652,NA,0.329303747,3.950089206,-0.562279756,1.788363018,5.417610977
B458,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.408039463,-0.504670721,4.839414297,1.082843184,0.463734016,3.944296566,-0.679252751,1.114241908,5.297466665
B460,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,0.870074213,-0.701254229,4.949524137,1.303484293,0.292669614,3.9355442,-0.578848494,1.087335115,5.666826768
B461,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,NA,-0.563197936,4.807378517,1.332079741,0.652325186,3.936325298,-0.262172229,1.82140485,NA
B466,Virola,michelii,Virola_michelii,BF,TF,Bafog,2.249629259,-0.503414227,4.746155727,1.973736947,0.542324291,3.954315918,-0.504573224,1.277351143,NA
B473,Licania,membranacea,Licania_membranacea,TF,TF,Bafog,2.121261518,-0.550084798,4.792892134,1.434744418,0.530628251,3.752323627,-0.971816702,1.208085182,NA
K477,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,0.574325039,-0.626302001,5.059714305,1.734507635,0.444685821,3.944296566,-0.599356586,1.297887167,6.165817934
K479,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Kaw,0.231301446,-0.59582097,5.332491231,1.967126807,0.698134722,3.915616541,-0.130308842,2.32810625,NA
K480,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,0.842382361,-0.666618383,5.007522454,1.935838614,0.385262401,3.963476287,-0.471586938,1.494821903,5.958178569
K482,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,0.888781681,-0.669817139,NA,1.131213696,0.277631737,3.951436008,-0.299550268,1.618607,6.032286542
K483,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Kaw,0.379150232,-0.483092594,5.122072907,2.186834366,0.604315967,3.984529696,-0.391194195,1.870091793,NA
K485,Licania,membranacea,Licania_membranacea,TF,TF,Kaw,2.041906361,-0.828918563,4.763922832,1.496765789,0.350656872,3.86220231,-0.849697297,1.55050302,NA
K486,Virola,michelii,Virola_michelii,TF,TF,Kaw,1.84769843,-0.75936554,4.792525718,1.902227498,0.609765572,3.990464432,-0.761023121,1.1023969,NA
K488,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,0.745025512,-0.542859032,4.960222314,1.480281441,0.207014169,3.95756982,-0.149096283,1.595234381,5.958178569
K489,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Kaw,0.544266394,-0.500896493,5.17829827,1.790742476,0.58221562,3.99249639,-0.454290781,1.622589359,5.084905223
K492,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,0.851901439,-0.827100984,4.99894658,1.183218135,0.198850859,3.950281718,-0.859969995,0.849207854,5.778052403
K493,Virola,michelii,Virola_michelii,TF,TF,Kaw,1.57608891,-0.600395724,5.096531605,1.986675915,0.712949808,3.980055416,-0.018423742,1.938824523,NA
K496,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,1.224994752,-0.642842871,4.949886206,1.631862331,0.285178942,3.951243719,-0.449504429,1.624540749,5.935955433
K505,Virola,michelii,Virola_michelii,TF,TF,Kaw,1.240991914,-0.539226474,4.958400504,2.227773789,0.647103242,3.977061402,-0.171475661,1.92377826,NA
K507,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Kaw,0.461203946,-0.449162963,5.094037889,1.438439924,0.463734016,3.991388561,-0.184714562,1.821168265,NA
K518,Virola,michelii,Virola_michelii,TF,TF,Kaw,1.641320357,-0.446504679,5.366764956,2.268847344,0.928219303,3.986202404,0.212497638,2.527217563,NA
K520,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Kaw,-0.145505701,-0.502156152,5.024234406,1.88741918,0.378436436,3.977623463,-0.703702558,1.344943652,4.943826624
K521,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Kaw,1.024084375,-0.437144637,4.864755979,NA,0.593326845,3.966321779,-0.395618953,1.038552734,4.973679588
K522,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Kaw,-0.365696038,-0.512176711,5.039201371,2.169168813,0.494696242,3.983040493,-0.527228096,1.141177235,5.030838001
K525,Licania,membranacea,Licania_membranacea,TF,TF,Kaw,1.627953008,-0.755464487,4.808478309,2.087780586,0.322083499,3.918402612,-0.965486771,1.495125312,NA
K526,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Kaw,1.090101125,-0.656960261,5.122209465,1.362054945,0.615185639,3.885062824,-0.478917697,2.244310474,5.666826768
K527,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,0.75549857,-0.627413279,4.998290746,1.606291917,0.029558802,3.934762492,-0.916884411,1.673718007,6.330120986
K530,Licania,membranacea,Licania_membranacea,TF,TF,Kaw,1.648516091,-0.819797452,4.903889375,1.38303054,0.418710335,3.901568548,-0.890651757,1.927691674,NA
K531,Licania,membranacea,Licania_membranacea,TF,TF,Kaw,1.868716702,-0.7022853,5.17134442,1.819937313,0.364643114,3.888754378,-1.064006285,1.79252891,NA
K578,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Kaw,-0.357273341,-0.25813997,5.005596621,NA,0.512823626,3.8981269,-0.300753857,1.517824315,5.297466665
K579,Licania,membranacea,Licania_membranacea,TF,TF,Kaw,0.99506672,-0.503414227,4.978645018,1.48663494,0.58221562,3.950281718,-0.562084357,2.179171033,NA
K580,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,0.584270801,-0.640653166,5.090729077,1.615770513,0.2390169,3.956805148,-0.73780282,1.414031359,6.052489249
K582,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Kaw,-0.300659441,-0.412665788,5.118706732,2.277019458,0.518793793,3.970669201,-0.355432666,1.926786991,5.184988681
K583,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,0.912480111,-0.457095679,NA,1.330716937,0.392042088,3.966321779,0.027201511,2.00131425,5.737778504
