"","Code","Genus","Species","Name","Habitat","Type","Forest","Gmin","TLP","LSWC","MajVLA","N","C","P","K","SD","TWI"
"41",259,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Bafog",4.423291,-1.49628,170.3478,4.3823884245,2.64,53.02,0.734632683658171,5.47291368601414,269.230769230769,7.77657
"42",260,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Bafog",3.152384,-1.60652,152.1145,6.2737462735,1.67,51.11,0.63854218671992,8.17838256900364,157.051282051282,7.77657
"43",263,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",2.757742,-1.82284,139.6617,5.6267737625,1.13,52.39,0.505252626313157,3.52191109840635,253.205128205128,7.77657
"44",269,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Bafog",11.92909,-1.27788,157.8295,NA,2.35,53.05,0.727318295739348,3.49588986752596,NA,7.381081
"45",271,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Bafog",11.09658,-1.23836,118.9339,5.0255859155,2.72,53.26,0.850074962518741,5.61284372099664,391.414141414141,6.107582
"46",272,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",5.048667,-2.0038,153.3153,8.0509048825,0.98,52.8,0.393334997503744,2.05606604379146,371.794871794872,6.107582
"47",275,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",4.647826,-1.91436,151.6628,5.769988086,1.42,52.86,0.507253626813407,2.85632830701065,192.307692307692,7.381081
"48",281,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",8.390362,-2.01628,165.1153,8.5875746185,1.27,52.69,0.521260630315158,4.48589308940184,242.34693877551,7.381081
"49",283,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Bafog",6.068628,-1.5254,184.4526,4.3349577545,2.92,52.15,0.8825,6.56065014285714,NA,7.381081
"50",284,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Bafog",5.408012,-1.45468,156.8538,4.2698591875,2.69,52.51,0.832583708145927,5.83773127721853,127.551020408163,7.381081
"51",285,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",4.361329,-1.87484,136.8614,6.1466152335,1.23,48.88,0.513216957605985,3.17421460634129,374.149659863946,7.381081
"52",289,"Licania","membranacea","Licania_membranacea","TF","TF","Bafog",NA,-2.27836,107.5417,7.273075346,1.58,41.84,0.583291645822911,6.89409719145287,NA,7.381081
"53",319,"Licania","membranacea","Licania_membranacea","TF","TF","Bafog",6.426741,-2.04748,128.0792,7.493193675,1.5,50.28,0.406134663341646,6.4395512646954,NA,7.77657
"54",327,"Virola","michelii","Virola_michelii","TF","TF","Bafog",4.379839,-2.03916,193.2745,6.1675062245,2.49,53.34,0.668331668331669,5.5251250178393,NA,5.739544
"55",328,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Bafog",2.823498,-2.04124,165.1502,2.6764211565,1.88,48.39,0.571928071928072,5.96468545739974,233.843537414966,6.428874
"56",352,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Bafog",4.328074,-1.29868,155.4541,3.311530376,2.57,53.35,0.874687968047928,6.03659524998217,NA,6.274916
"57",354,"Virola","michelii","Virola_michelii","TF","TF","Bafog",3.839539,-1.47964,201.3707,3.574638847,2.17,53.16,0.55944055944056,4.06708305979735,NA,6.488138
"58",356,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Bafog",1.486978,-1.44428,216.6896,7.806444894,1.8,53.19,0.528942115768463,3.64560892500713,NA,6.488138
"59",357,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Bafog",4.629287,-1.96012,226.8495,3.149273126,2.07,49.56,0.555389221556886,4.06651710863986,NA,6.488138
"60",361,"Virola","michelii","Virola_michelii","TF","TF","Bafog",5.771723,-1.63772,158.6695,6.834051069,2.17,51.92,0.6795,3.25190014285714,NA,5.393234
"61",362,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Bafog",1.950403,-1.64396,144.1921,6.758330836,1.69,54.55,0.589820359281437,5.72420173937839,NA,5.393234
"62",367,"Virola","michelii","Virola_michelii","TF","TF","Bafog",9.474659,-1.51916,183.4096,5.011539984,2.24,49.62,0.730404393409885,4.17988032237358,NA,5.510303
"63",369,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Bafog",1.744519,-1.74796,231.5659,3.461730943,2.5,46.55,0.798302546180729,9.59126324798516,212.585034013605,5.510303
"64",370,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Bafog",8.856904,-1.95388,215.493,2.742867281,1.87,46.02,0.508728179551122,8.31985051656573,352.891156462585,5.510303
"65",375,"Virola","michelii","Virola_michelii","TF","TF","Bafog",10.45962,-1.59196,131.1043,4.9057093715,1.72,55.05,0.543543543543544,3.5111613041613,NA,5.510303
"66",378,"Virola","michelii","Virola_michelii","TF","TF","Bafog",2.155309,-1.74796,136.1419,4.311021704,1.95,55.28,0.561596009975062,2.90413979337371,272.108843537415,5.510303
"67",379,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Bafog",2.246313,-2.03292,211.824,3.627604822,2.01,43.17,0.573573573573574,5.57122136422136,327.380952380952,5.865359
"68",387,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Bafog",4.620926,-1.6918,210.1382,5.0104672205,2.25,49.16,0.655263192307692,6.46862534615385,NA,10.762482
"69",388,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Bafog",1.167113,-1.85404,283.1803,4.1355857435,1.89,49.66,0.626076230422904,9.23824446838804,NA,10.762482
"70",417,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Bafog",2.251529,-1.42764,154.5598,5.8265126655,1.54,51.32,0.51798621298821,2.61470329121702,NA,5.813896
"71",431,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Bafog",1.337069,-1.86444,249.378,2.2147780685,2.01,48.66,0.540222969338354,6.37225309306079,276.360544217687,6.104334
"72",451,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",3.909964,-1.73548,126.8363,4.305902073,1.2,44.76,0.562826018326018,3.38976511126511,344.387755102041,8.394425
"73",455,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",3.520896,-1.80828,145.2942,NA,1.39,51.94,0.569908329812973,5.97965586236031,225.340136054422,7.826711
"74",458,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",4.087933,-1.65644,126.3953,2.953063729,1.59,51.64,0.506995703050067,3.04725720314598,199.829931972789,7.826711
"75",460,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",2.387088,-2.01628,141.1078,3.682103871,1.34,51.19,0.560543464039712,2.96635852541655,289.115646258503,7.381081
"76",461,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Bafog",NA,-1.75628,122.4103,3.7889151615,1.92,51.23,0.769378503056164,6.18053507861454,NA,7.381081
"77",473,"Licania","membranacea","Licania_membranacea","TF","TF","Bafog",8.341654,-1.7334,120.6498,4.1985717925,1.7,42.62,0.378394982272237,3.34706948512409,NA,7.837981
"78",477,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",1.77593143768691,-1.87068,157.5455,5.666137307,1.56,51.64,0.549164862582527,3.66155224167051,476.190476190476,6.166006
"79",479,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Kaw",1.26023907659308,-1.81452,206.9529,7.150103322,2.01,50.18,0.877824280167609,10.2584960981048,NA,6.350865
"80",480,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",2.32189197675884,-1.94764,149.5338,6.9298530925,1.47,52.64,0.624011214737167,4.45854243101588,386.904761904762,6.350865
"81",482,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",2.4321646939381,-1.95388,NA,3.099415968,1.32,52.01,0.741151465110027,5.0460562617612,416.666666666667,6.350865
"82",483,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Kaw",1.4610425151054,-1.62108,167.6826,8.906972227,1.83,53.76,0.676248819079074,6.48889200814163,NA,6.143994
"83",485,"Licania","membranacea","Licania_membranacea","TF","TF","Kaw",7.70528425704455,-2.29084,117.2048,4.4672177565,1.42,47.57,0.427544331478995,4.71384074429311,NA,6.350865
"84",486,"Virola","michelii","Virola_michelii","TF","TF","Kaw",6.34519878208696,-2.13692,120.6056,6.7008038585,1.84,54.08,0.467188192307692,3.01137534615385,NA,6.143994
"85",488,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",2.10649517587698,-1.72092,142.6255,4.39418221,1.23,52.33,0.861486164636966,4.92948431478341,386.904761904762,6.166006
"86",489,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Kaw",1.72334366340844,-1.6502,177.3807,5.993901143,1.79,54.19,0.63489809039809,5.06619153769154,161.56462585034,6.166006
"87",492,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",2.34409977951494,-2.28668,148.2569,3.2648640885,1.22,51.95,0.423174779697541,2.33779424327548,323.12925170068,6.166006
"88",493,"Virola","michelii","Virola_michelii","TF","TF","Kaw",4.83600472384521,-1.82284,163.454,7.291256679,2.04,53.52,0.981744937244937,6.95057592207592,NA,6.961741
"89",496,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",3.40414821881908,-1.90188,141.1589,5.1133886795,1.33,52,0.637944220197594,5.0760873025026,378.401360544218,6.166006
"90",505,"Virola","michelii","Virola_michelii","TF","TF","Kaw",3.4590428356321,-1.71468,142.3659,9.2791856445,1.91,53.36,0.842420771536156,6.84677856758626,NA,6.756272
"91",507,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Kaw",1.5859822722683,-1.567,163.0469,4.2141163425,1.59,54.13,0.831341546173125,6.17907302872566,NA,8.694102
"92",518,"Virola","michelii","Virola_michelii","TF","TF","Kaw",5.16198067083835,-1.56284,214.1689,9.6682502195,2.53,53.85,1.23676319230769,12.5186253461538,NA,6.908254
"93",520,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Kaw",0.864584961077167,-1.65228,152.0538,6.6023073095,1.46,53.39,0.494750067476383,3.83797027183343,140.30612244898,6.550724
"94",521,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Kaw",2.7845446938436,-1.54828,129.6393,NA,1.81,52.79,0.673263192307692,2.82512534615385,144.557823129252,6.550724
"95",522,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Kaw",0.693713631491179,-1.66892,154.3467,8.751007296,1.64,53.68,0.590238789280895,3.13045147484095,153.061224489796,6.166006
"96",525,"Licania","membranacea","Licania_membranacea","TF","TF","Kaw",5.09343781334648,-2.1286,122.545,8.0669912895,1.38,50.32,0.380797793410987,4.45989539845462,NA,7.686897
"97",526,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Kaw",2.97457486203725,-1.92892,167.7055,3.9042079965,1.85,48.67,0.619453465574905,9.43390839195787,289.115646258503,8.654542
"98",527,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",2.12867255178563,-1.87276,148.1597,4.98429474,1.03,51.15,0.399762598804704,5.33195523423945,561.224489795918,7.841443
"99",530,"Licania","membranacea","Licania_membranacea","TF","TF","Kaw",5.19925887491924,-2.27004,134.8131,3.986965999,1.52,49.48,0.410388192307692,6.87362534615385,NA,8.127021
"100",531,"Licania","membranacea","Licania_membranacea","TF","TF","Kaw",6.47997532176498,-2.01836,176.1515,6.1714715695,1.44,48.85,0.34507058642805,6.00461841852606,NA,6.924703
"101",578,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Kaw",0.699581247569486,-1.29452,149.2461,NA,1.67,49.31,0.74025995995996,4.56228828828829,199.829931972789,5.707512
"102",579,"Licania","membranacea","Licania_membranacea","TF","TF","Kaw",2.70490480725627,-1.65436,145.2774,4.4221895215,1.79,51.95,0.5700197,8.838976,NA,6.703697
"103",580,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",1.79368255631904,-1.89772,162.5083,5.0317634705,1.27,52.29,0.478163373253493,4.11250099800399,425.170068027211,6.703697
"104",582,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Kaw",0.740329855684182,-1.51084,167.1191,9.747583983,1.68,53.02,0.700870135067534,6.86740970485243,178.571428571429,6.345963
"105",583,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",2.49049157551391,-1.57948,NA,3.783755128,1.48,52.79,1.0275748496994,7.39877354709419,310.374149659864,6.345963
"106",584,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Kaw",0.970106546230864,-1.91644,265.7003,3.109125819,3.11,46.98,0.854446923461731,10.1390455227614,259.353741496599,6.690291
"107",588,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Kaw",0.843546229886045,-1.58572,207.4545,3.8460333055,2.26,49.96,1.40212288432649,13.3690295443165,331.632653061225,6.345963
"108",589,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Kaw",3.636506,-1.91852,240.911,5.158743323,2.99,46.65,0.7840197,12.648976,361.394557823129,6.345963
"109",590,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Kaw",2.656887,-1.67516,248.0952,3.4042924835,2.51,49.91,0.7925197,11.153976,335.884353741497,6.345963
"110",594,"Virola","michelii","Virola_michelii","TF","TF","Kaw",5.6987,-1.64396,212.5555,5.233413789,2.29,53.47,0.859449424712356,7.73284242121061,NA,6.345963
"111",600,"Virola","michelii","Virola_michelii","TF","TF","Kaw",7.672562,-1.6398,209.3714,3.0028263245,2.61,58.46,1.01731065646485,8.92663173652695,NA,5.748245
"112",660,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Paracou",NA,-2.18476,257.9885,3.48978379,2.27,47.55,0.608995355263545,8.33447361613311,227.564102564103,9.992872
"113",491,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Kaw",1.3498362953766,NA,150.8276,7.3580645195,1.32,50.18,0.464009206116868,3.45080154847656,459.183673469388,6.350865
"114",1,"Iryanthera","hostmannii","Iryanthera_hostmannii","BF","BF","Paracou",1.12698960793513,-1.57116,152.3372,5.9396617245,1.43,53.62,0.887238664829659,11.196360104825,227.564102564103,8.069946
"115",3,"Iryanthera","hostmannii","Iryanthera_hostmannii","BF","BF","Paracou",0.935228521230671,-1.48588,150.2864,6.3817325905,1.54,53.56,0.934496939030485,11.3932707492408,198.717948717949,8.069946
"116",157,"Protium","opacum subsp. rabelianum","Protium_opacum subsp. rabelianum","BF","BF","Paracou",3.07,-2.31372,132.8876,6.2971760755,1.14,51.46,0.5205665001665,5.43815220493792,349.358974358974,10.655679
"117",158,"Iryanthera","hostmannii","Iryanthera_hostmannii","BF","BF","Paracou",1.42105119131966,-1.671,131.4822,4.6529558095,1.48,50.95,0.845241824841825,11.3672231340089,118.589743589744,10.655679
"118",165,"Laetia","procera","Laetia_procera","BF","BF","Paracou",0.861663981071753,-2.07868,157.5031,4.5855582735,1.42,45.43,0.864383642129862,12.3621335574791,782.828282828283,8.119463
"119",167,"Eschweilera","coriacea","Eschweilera_coriacea","BF","BF","Paracou",0.752451762210041,-1.63772,113.8375,5.8601699915,1.69,54.88,0.603380306054557,5.56246542629028,435.897435897436,10.655679
"120",178,"Pterocarpus","officinalis","Pterocarpus_officinalis","BF","BF","Paracou",3.99580882142404,-1.40476,209.2991,4.275642818,2.79,52.03,1.48331203471875,14.0396498318907,NA,8.819272
"121",182,"Pterocarpus","officinalis","Pterocarpus_officinalis","BF","BF","Paracou",1.70457737886202,-1.62108,280.2897,6.520621689,3.09,52.03,1.4728777500416,18.630644390557,375,8.819272
"122",116,"Iryanthera","hostmannii","Iryanthera_hostmannii","BF","BF","Paracou",1.01421371988512,-1.76252,112.8575,5.1485685115,1.6,51.88,0.616703770437104,8.16175210925211,134.615384615385,9.582552
"123",148,"Laetia","procera","Laetia_procera","BF","BF","Paracou",2.03998391994281,-1.66892,196.7544,2.707027185,1.49,48.83,0.475287066666667,4.84084035714286,641.025641025641,9.54106
"124",149,"Pterocarpus","officinalis","Pterocarpus_officinalis","BF","BF","Paracou",1.20358031030873,-1.62108,147.8316,3.9542368685,2.27,46.72,0.98060646020646,10.6829074496932,381.410256410256,9.54106
"125",201,"Eperua","falcata","Eperua_falcata","BF","BF","Paracou",0.890125464704993,-2.00588,122.716,9.9968218365,1.89,52.35,0.856658737298018,8.20448811308632,493.589743589744,9.54106
"126",202,"Eperua","falcata","Eperua_falcata","BF","BF","Paracou",0.898129176674234,-1.75004,156.7324,10.24301455,1.94,52.09,0.798885952619286,4.96455491205491,407.051282051282,9.54106
"127",203,"Eschweilera","coriacea","Eschweilera_coriacea","BF","BF","Paracou",1.26502722756547,-1.74588,172.1585,3.623738749,1.83,51.63,0.754209961685824,3.22922574427072,358.974358974359,9.54106
"128",204,"Laetia","procera","Laetia_procera","BF","BF","Paracou",3.36744151451935,-1.84988,144.2341,6.5516255865,1.78,50.39,0.717869197469197,6.22736299414871,660.25641025641,9.54106
"129",205,"Iryanthera","hostmannii","Iryanthera_hostmannii","BF","BF","Paracou",0.833688733367183,-1.64812,139.6641,4.715679671,1.47,52.88,0.632688999667664,7.67057862127902,211.538461538462,9.54106
"130",206,"Carapa","surinamensis","Carapa_surinamensis","BF","BF","Paracou",1.29432995454399,-1.84156,148.6188,2.6172824505,1.73,48.51,0.814994563948641,5.19618845136854,NA,9.54106
"131",207,"Symphonia","globulifera","Symphonia_globulifera","BF","BF","Paracou",1.39622653658527,-1.71884,240.9301,4.7389776435,1.53,49.77,0.684402664002664,15.503087269873,230.769230769231,9.54106
"132",197,"Protium","opacum subsp. rabelianum","Protium_opacum subsp. rabelianum","BF","BF","Paracou",8.0259114346937,-2.30124,114.2909,5.380297595,1.58,50.53,0.754587066666667,6.99859035714286,275.641025641026,8.45702
"133",208,"Carapa","surinamensis","Carapa_surinamensis","BF","BF","Paracou",1.34452500728457,-1.73132,149.2003,1.970808622,1.78,48.11,0.682110232014689,4.77325023249159,NA,8.45702
"134",213,"Eperua","falcata","Eperua_falcata","BF","BF","Paracou",2.91132759582417,-1.8998,143.7267,9.8521353015,2.06,51.98,0.864383642129862,5.43674547535589,467.948717948718,8.45702
"135",221,"Pterocarpus","officinalis","Pterocarpus_officinalis","BF","BF","Paracou",2.18697937003723,-1.879,146.6811,4.0013669805,2.55,52.33,1.1002493765586,8.26000014250089,298.076923076923,9.582552
"136",222,"Eschweilera","coriacea","Eschweilera_coriacea","BF","BF","Paracou",1.39982690287318,-1.97052,118.7836,4.232081431,2.03,52.44,0.798,5.73565014285714,400.641025641026,9.582552
"137",223,"Symphonia","globulifera","Symphonia_globulifera","BF","BF","Paracou",1.43294753848301,-1.6918,200.3532,5.890484344,1.48,48.6,0.678642714570858,13.4537426575421,192.307692307692,9.758042
"138",225,"Eperua","falcata","Eperua_falcata","BF","BF","Paracou",2.07350310207051,-1.79164,111.5078,6.447918198,2.07,52.36,0.818637274549098,6.1729961351274,317.307692307692,9.758042
"139",226,"Pterocarpus","officinalis","Pterocarpus_officinalis","BF","BF","Paracou",1.54707378718445,-1.76668,174.9472,6.278531603,3.2,52,1.02298850574713,9.84072977796816,310.897435897436,9.758042
"140",227,"Pterocarpus","officinalis","Pterocarpus_officinalis","BF","BF","Paracou",1.4217540031221,-1.56492,159.107,4.3773335115,2.79,51.23,1.16566866267465,11.3180141146279,230.769230769231,9.582552
