Code,idTree,Plot,Subplot,FieldNr,Genus,Species,Name,Family,PrefHabitat,Habitat,Spcode,Fresh_Weight(g),Saturated_Weight(g),Dry_Weight(g),LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,Height_Tree,Dawkin_Tree,Height_Branch,Dawkin_Branch,Position_Crown
29,145356,15,1,45,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,1.283,1.328,0.581,1.283,-1.658,-1.989,21.343,0.8,70.589,2.051,17,2,15,3,Mid
30,145769,15,1,460,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,1.202,1.259,0.484,1.604,-1.61,-1.951,23.753,0.787,93.252,2.569,16,3,16,3,Mid
31,145376,15,1,65,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,1.08,1.085,0.38,1.854,-1.268,-1.678,10.273,0.818,80.371,5.069,16,3,14,3,Mid
32,148668,15,3,2684,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,TF,Tac.mel,0.357,0.368,0.173,1.13,-1.18,-1.608,,0.731,19.1,1.895,26,3,24,3,Mid
33,148907,15,4,204,Gustavia,hexapetala,Gustavia hexapetala,Lecythidaceae,TF,TF,Gus.hex,1.186,1.237,0.38,2.253,-1.565,-1.915,,0.769,42.526,2.374,20,3,20,3,Sup
34,102705,6,2,2358,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,2.16,2.205,1.063,1.075,-1.735,-2.051,9.07,0.804,100.798,5.761,23,4,20,4,Sup
35,149111,15,4,408,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,1.668,1.675,0.762,1.198,-1.588,-1.933,,0.83,40.594,2.559,18,3,15,3,Mid
36,149208,15,4,506,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,5.423,5.513,2.464,1.237,-1.36,-1.752,,0.806,194.482,2.346,17,4,16,3,Sup
37,227102,15,4,2809,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,0.602,0.604,0.188,2.206,-1.128,-1.566,,0.789,29.789,1.749,16,3,15,4,Mid
38,148949,15,4,246,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,1.57,1.584,0.608,1.606,-1.468,-1.838,2.97,0.791,75.667,3.022,17,4,14,4,Mid
39,148940,15,4,237,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,1.477,1.548,0.441,2.513,-1.673,-2.001,8.6,0.778,26.852,2.297,18,4,15,3,Sup
40,149391,15,4,690,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,1.072,1.067,0.307,2.479,-1.588,-1.933,,0.819,14.063,2.338,14,3,12,3,Sup
41,181305,6,2,2924,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,2.385,2.411,1.163,1.073,-1.675,-2.003,8.025,0.815,95.184,3.831,18,2,15,3,Mid
42,102701,6,2,2354,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,2.703,2.774,1.271,1.182,-1.913,-2.193,9.277,0.837,98.325,3.092,25,2,22,3,Mid
43,178746,6,2,2901,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,11.763,11.982,5.663,1.116,-1.213,-1.634,9.897,0.814,145.987,1.72,19,4,19,4,Sup
44,205764,6,2,2961,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,2.592,2.63,1.158,1.271,-1.808,-2.109,9.55,0.804,57.859,7.998,15,4,14,4,Mid
45,145931,15,1,623,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,2.401,2.441,1.027,1.377,-1.413,-1.794,16.14,0.781,35.891,2.311,12,4,11,4,Sup
46,145945,15,1,637,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,1.871,1.893,0.526,2.6,-1.353,-1.746,13.35,0.807,37.085,1.971,25,4,18,3,Mid
47,145883,15,1,575,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,0.724,0.725,0.229,2.164,-1.343,-1.738,9.91,0.785,21.743,1.839,32,4,25,3,Mid
48,145949,15,1,641,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,BF,Jac.cop,0.774,0.792,0.277,1.862,-0.855,-1.348,13.81,0.808,16.609,4.852,12,3,12,3,Sup
49,145666,15,1,357,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,6.043,6.261,2.757,1.271,-1.39,-1.776,5.503,0.764,180.296,2.814,16,3,14,3,Sup
50,147391,15,2,1136,Gustavia,hexapetala,Gustavia hexapetala,Lecythidaceae,TF,TF,Gus.hex,0.831,0.855,0.327,1.613,-1.835,-2.131,34.727,0.646,51.596,1.029,12,3,10,3,Sup
51,147235,15,2,980,Dicorynia,guianensis,Dicorynia guianensis,Fabaceae,TF,TF,Dic.gui,1.286,1.322,0.516,1.564,-1.175,-1.604,,0.749,51.602,7.764,15,3,14,4,Sup
52,226846,15,4,2803,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.659,0.674,0.317,1.128,-1.06,-1.512,,0.813,37.423,2.77,15,4,12,3,Mid
53,149005,15,4,302,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,1.791,1.818,0.901,1.017,-1.433,-1.81,,0.753,26.762,6.547,15,2,14,3,Sup
54,249664,6,1,2962,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,0.786,0.787,0.349,1.253,-1.715,-2.035,,0.829,77.768,4.045,14,3,12,3,Sup
55,101083,6,1,480,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.441,0.4445,0.1508,1.947612732,,,,0.822,18.25427549,10.8886066,30,5,28,3,Mid
56,100766,6,1,149,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,TF,Chr.pri,2.367,2.412,1.139,1.117,-1.725,-2.043,12.83,0.804,133.868,2.229,24,3,17,3,Mid
57,100765,6,1,148,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,TF,Con.gui,1.486,1.498,0.684,1.189,-1.285,-1.692,,0.82,91.057,2.443,15,2,14,3,Sup
58,,,,,,,NA NA,,,,,,,,,,,,,,,,,,,
59,,,,,,,NA NA,,,,,,,,,,,,,,,,,,,
60,205758,6,2,2955,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,1.573,1.606,0.687,1.338,-1.565,-1.915,11.793,0.778,120.531,1.634,21,2,18,3,Mid
61,102799,6,2,2866,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.532,0.556,0.152,2.65,-0.923,-1.402,,0.777,28.136,2.664,16,3,16,3,Sup
62,102878,6,3,75,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,TF,Chr.pri,1.83,1.904,0.949,1.007,-2.12,-2.359,14.213,0.834,81.332,3.756,32,4,30,4,Sup
63,103035,6,3,236,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,TF,Boc.pro,1.251,1.22,0.57,1.141,-1.285,-1.692,11.657,0.823,74.254,3.074,16,3,14,3,Mid
64,205745,6,1,2924,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,1.778,1.797,0.549,2.275,-1.038,-1.494,8.633,0.811,80.433,2.801,12,4,10,3,Mid
65,179841,6,1,2874,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,BF,Tac.mel,0.412,0.417,0.196,1.127,-1.39,-1.776,,0.835,26.457,2.695,24,4,18,3,Inf
