Code,idTree,Plot,Subplot,FieldNr,Genus,Species,Name,Family,PrefHabitat,Habitat,Spcode,Fresh_Weight(g),Saturated_Weight(g),Dry_Weight(g),LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,Height_Tree,Dawkin_Tree,Height_Branch,Dawkin_Branch,Position_Crown
120,142667,14,2,461,Iryanthera,hostmannii,Iryanthera hostmannii,Myristicaceae,BF,BF,Iry.hos,2.636,2.716,1.046,1.597,-1.12,-1.56,,0.816,50.04,0.962,12,2,11,3,Sup
121,142472,14,2,265,Iryanthera,sagotiana,Iryanthera sagotiana,Myristicaceae,TF,TF,Iry.sag,1.174,1.167,0.473,1.468,-1.023,-1.482,,0.801,48.421,2.335,14,2,12,3,Mid
122,143155,14,2,953,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,1.312,1.319,0.468,1.82,-1.32,-1.72,,0.792,104.154,2.238,8,3,8,3,Sup
123,142984,14,2,779,Iryanthera,hostmannii,Iryanthera hostmannii,Myristicaceae,BF,BF,Iry.hos,1.042,1.06,0.489,1.17,-1.195,-1.62,,0.814,39.238,2.328,10,2,7,4,Mid
124,142990,14,2,785,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,2.781,2.822,1.405,1.008,-1.213,-1.634,,0.813,57.663,1.886,23,3,18,4,Mid
125,143065,14,2,861,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,0.744,0.752,0.372,1.019,-1.468,-1.838,,0.739,33.132,1.17,29,4,27,4,Mid
126,142950,14,2,745,Vouacapoua,americana,Vouacapoua americana,Fabaceae,TF,TF,Vou.ame,0.848,0.837,0.441,0.898,-2.04,-2.295,,0.831,35.564,2.716,22,2,18,3,Mid
127,142685,14,2,479,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,2.63,2.638,1.034,1.551,-1.13,-1.568,,0.824,136.812,0.983,16,4,13,4,Mid
128,142527,14,2,320,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,0.869,0.861,0.349,1.466,-1.765,-2.075,,0.778,81.001,3.794,28,4,24,4,Mid
129,142291,14,2,80,Virola,michelii,Virola michelii,Myristicaceae,Generalist,TF,Vir.mic,0.922,0.932,0.403,1.31,-1.36,-1.752,,0.765,31.645,9.084,24,4,24,4,Sup
130,142646,14,2,440,Casearia,javitensis,Casearia javitensis,Salicaceae,TF,TF,Cas.jav,1.158,0.579,0.582,-0.005,-1.835,-2.131,,0.801,77.344,4.207,13,2,10,3,Mid
131,142662,14,2,456,Laetia,procera,Laetia procera,Salicaceae,BF,BF,Lae.pro,2.232,2.253,0.936,1.407,-1.625,-1.963,,0.818,55.58,2.328,34,4,31,4,Sup
132,143007,14,2,802,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,0.598,0.602,0.279,1.16,-1.323,-1.722,,0.785,35.6,1.322,26,4,23,4,Mid
133,143035,14,2,831,Virola,surinamensis,Virola surinamensis,Myristicaceae,BF,BF,Vir.sur,0.862,0.91,0.321,1.835,-1.32,-1.72,,0.826,20.777,3.691,36,5,31,5,Mid
134,141912,14,1,763,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,0.673,0.954,0.427,1.235,-1.46,-1.832,,0.829,62.371,2.291,23,5,20,5,Sup
135,143058,14,2,854,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,BF,Jac.cop,0.8835,0.913,0.4585,0.9912759,,,,0.81,16.98501895,11.52409566,29,4,27,4,Sup
136,141725,14,1,576,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,0.569,0.559,0.207,1.702,-1.243,-1.658,,0.782,16.263,2.835,39,4,30,4,Inf
137,143297,14,3,67,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,0.421,0.407,0.14,1.915,-1,-1.464,,0.82,38.169,1.309,22,3,18,3,Inf
138,141168,14,1,10,Laetia,procera,Laetia procera,Salicaceae,BF,BF,Lae.pro,4.283,4.334,1.774,1.444,-1.353,-1.746,,0.842,93.028,4.614,26,4,22,4,Mid
139,141172,14,1,14,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,1.458,1.453,0.544,1.673,-1.343,-1.738,,0.798,33.806,4.341,27,4,23,5,Mid
140,126739,11,1,216,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,1.073,1.109,0.501,1.212,-1.593,-1.937,,0.831,62.423,2.247,16,2,14,2,Mid
141,141732,14,1,583,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,BF,Tac.mel,0.263,0.267,0.115,1.333,-1.493,-1.858,,0.787,10.436,3.782,34,5,26,4,Inf
142,141516,14,1,367,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,BF,Chr.pri,1.829,1.842,0.791,1.329,-0.793,-1.298,,0.822,78.671,7.275,18,3,14,3,Inf
143,143313,14,3,83,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,1.647,1.659,0.71,1.337,-1.575,-1.923,,0.831,89.248,4.737,18,3,14,3,Inf
144,143306,14,3,76,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,3.842,3.909,1.466,1.666,-1.375,-1.764,,0.83,98.969,1.709,24,5,24,4,Sup
145,141465,14,1,316,Protium,stevensonii,Protium stevensonii,Burseraceae,Generalist,TF,Pro.ste,0.475,0.469,0.228,1.056,-1.785,-2.091,,0.831,35.525,2.585,14,2,12,3,Mid
146,142036,14,1,887,Licania,membranacea,Licania membranacea,Chrysobalanaceae,TF,TF,Lic.mem,0.927,0.943,0.45,1.098,-1.523,-1.881,,0.797,18.668,5.136,18,3,14,3,Inf
147,142081,14,1,932,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,1.323,0.441,0.186,1.366,-1.095,-1.54,,0.607,40.381,3.598,23,3,17,3,Inf
148,138144,13,2,108,Laetia,procera,Laetia procera,Salicaceae,BF,BF,Lae.pro,2.459,2.514,0.847,1.968,-1.248,-1.662,,0.805,99.091,1.224,17,2,17,2,Sup
149,138122,13,2,86,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,0.589,0.589,0.238,1.478,-1.19,-1.616,,0.828,28.364,1.236,28,4,23,2,Inf
150,138083,13,2,47,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,1.608,1.626,0.768,1.115,-1.86,-2.151,,0.75,64.614,1.838,12,5,12,4,Sup
151,141222,14,1,64,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,2.196,2.241,0.876,1.558,-1.743,-2.057,,0.828,79.337,3.181,20,3,17,3,Mid
152,141631,14,1,482,Casearia,javitensis,Casearia javitensis,Salicaceae,TF,TF,Cas.jav,1.785,1.791,0.969,0.848,-1.823,-2.121,,0.727,71.311,6.939,13,2,13,2,Sup
153,141607,14,1,458,Dicorynia,guianensis,Dicorynia guianensis,Fabaceae,TF,TF,Dic.gui,1.038,0.995,0.426,1.335,-1.29,-1.696,,0.834,58.64,7.8,40,5,31,4,Mid
154,141857,14,1,708,Iryanthera,sagotiana,Iryanthera sagotiana,Myristicaceae,TF,TF,Iry.sag,0.686,0.643,0.227,1.834,-1.193,-1.618,,0.805,45.221,2.49,17,2,14,3,Mid
155,141969,14,1,820,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,TF,Boc.pro,2.805,2.708,1.359,0.993,-0.975,-1.444,,0.752,87.171,7.901,19,3,18,4,Mid
156,145138,14,3,814,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,1.458,1.479,0.675,1.19,-1.765,-2.075,,0.822,62.433,2.133,18,3,16,2,Mid
157,143500,14,3,271,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,1.151,1.167,0.501,1.329,-2.023,-2.281,,0.795,33.336,3.005,18,3,16,2,Mid
158,144184,14,3,2659,Iryanthera,hostmannii,Iryanthera hostmannii,Myristicaceae,BF,BF,Iry.hos,1.906,1.913,0.827,1.315,-1.25,-1.664,,0.801,90.904,2.135,12,2,10,3,Mid
159,143542,14,3,314,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,1.363,1.4,0.62,1.259,-1.278,-1.686,,0.812,60.261,1.323,20,3,20,4,Sup
160,143554,14,3,326,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,0.982,1.051,0.386,1.722,-1.693,-2.017,,0.813,50.059,4.662,18,2,14,4,Inf
161,143929,14,3,701,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,BF,Chr.pri,1.157,1.201,0.495,1.429,-1.93,-2.207,,0.802,200.646,1.279,22,3,15,2,Inf
162,143947,14,3,719,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.423,0.428,0.192,1.223,-1.113,-1.554,,0.794,20.061,6.723,22,5,18,3,Inf
163,143969,14,3,741,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,TF,Tac.mel,0.27,0.279,0.123,1.272,-1.58,-1.927,,0.802,9,3.124,35,5,23,4,Mid
164,143250,14,3,20,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,0.625,0.581,0.29,1.003,-1.515,-1.875,,0.805,31.814,3.719,24,3,18,4,Mid
165,143346,14,3,116,Laetia,procera,Laetia procera,Salicaceae,BF,BF,Lae.pro,2.255,2.308,0.896,1.575,-1.74,-2.055,,0.822,111.638,1.124,25,3,23,3,Sup
166,143641,14,3,413,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,2.431,2.478,1.06,1.338,-1.443,-1.818,,0.778,85.217,1.59,10,3,7,4,Mid
167,143877,14,3,649,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,1.996,2.045,0.956,1.138,-1.21,-1.632,,0.8,89.504,0.942,22,4,20,4,Sup
168,144204,14,3,2679,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,BF,Jac.cop,0.56,0.573,0.251,1.28,-1.07,-1.52,,0.795,25.927,3.639,17,2,17,2,Sup
169,144207,14,3,2682,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,TF,Tac.mel,0.406,0.422,0.186,1.274,-1.378,-1.766,,0.83,28.678,1.818,32,5,22,5,Mid
170,144835,14,4,593,Iryanthera,sagotiana,Iryanthera sagotiana,Myristicaceae,TF,TF,Iry.sag,0.686,0.689,0.261,1.643,-1.163,-1.594,,0.817,29.156,0.74,15,3,13,3,Mid
171,140725,13,4,669,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,0.657,0.645,0.278,1.323,-0.92,-1.4,,0.829,31.137,3.702,22,4,18,4,Mid
172,141137,13,4,2830,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,TF,Con.gui,1.997,2.009,0.966,1.079,-1.483,-1.85,,0.817,104.392,1.619,16,2,14,2,Mid
173,141103,13,4,2501,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,0.652,0.654,0.263,1.49,-1.033,-1.49,,0.843,17.615,3.262,19,3,15,4,Mid
174,205811,11,2,2966,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,BF,Jac.cop,0.9079,0.9028,0.4019,1.246329933,,,,0.821,19.68716073,5.233856933,13,5,13,4,Sup
175,144269,14,3,26,Dicorynia,guianensis,Dicorynia guianensis,Fabaceae,TF,TF,Dic.gui,1.392,1.423,0.554,1.57,-0.99,-1.456,,0.834,89.499,2.982,25,3,25,4,Sup
176,138115,13,2,79,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,1.544,1.521,0.578,1.632,-1.56,-1.911,,0.805,153.782,1.332,18,2,12,2,Inf
177,128304,11,2,558,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.66,0.675,0.221,2.057,-1.453,-1.826,,0.822,12.581,6.668,18,3,17,3,Mid
178,131244,11,4,2848,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,0.642,0.662,0.214,2.093,-0.93,-1.408,,0.817,32.463,4.401,13,5,11,5,Inf
179,226979,11,2,2979,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.837,0.841,0.378,1.226,-0.87,-1.36,,0.829,26.027,2.451,15,2,13,4,Mid
180,226634,11,2,2972,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,BF,Jac.cop,0.9464,0.9776,0.4055,1.410850801,,,,0.783,26.13223352,5.570758614,13,5,13,4,Inf
181,130974,11,4,994,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.66,0.664,0.272,1.439,-1.078,-1.526,,0.842,30.441,4.563,18,2,16,3,Mid
182,131011,11,4,1032,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,0.601,0.604,0.159,2.803,-1.19,-1.616,,0.809,34.386,1.919,23,3,19,4,Inf
183,127971,11,2,196,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,TF,Con.gui,1.526,1.548,0.714,1.167,-1.22,-1.64,,0.803,75.406,1.82,15,2,14,3,Sup
184,127386,11,1,896,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,1.795,1.812,0.836,1.167,-1.503,-1.865,,0.809,65.398,7.232,18,4,16,4,Mid
185,141112,13,4,2805,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,1.043,1.056,0.423,1.499,-1.078,-1.526,,0.815,41.53,3.161,16,3,13,3,Mid
186,226623,11,1,2966,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.929,0.925,0.375,1.466,-0.89,-1.376,,0.831,29.74,5.886,22,4,21,4,Sup
187,184588,11,4,2905,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.343,0.344,0.134,1.573,-1.005,-1.468,,0.8,20.513,4.973,17,4,16,4,Sup
188,130578,11,4,567,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.508,0.511,0.185,1.765,-1.075,-1.524,,0.812,23.141,2.027,24,3,20,3,Sup
189,129933,11,3,1044,Virola,michelii,Virola michelii,Myristicaceae,Generalist,TF,Vir.mic,0.632,0.66,0.294,1.247,-1.715,-2.035,,0.691,37.511,1.828,25,4,22,4,Mid
190,130118,11,4,48,Virola,michelii,Virola michelii,Myristicaceae,Generalist,TF,Vir.mic,0.955,0.964,0.418,1.305,-1.703,-2.025,,0.776,24.398,3.27,26,3,23,3,Mid
191,129381,11,3,468,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,2.749,2.802,1.164,1.406,-1.485,-1.852,,0.803,53.683,0.989,17,4,14,3,Sup
192,130018,11,3,2301,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,BF,Jac.cop,0.411,0.415,0.144,1.89,-0.728,-1.246,,0.816,11.021,8.451,28,4,24,4,Sup
193,129031,11,3,103,Virola,michelii,Virola michelii,Myristicaceae,Generalist,TF,Vir.mic,2.008,2.012,0.813,1.476,-1.325,-1.724,,0.785,102.349,1.074,18,2,15,3,Mid
194,128754,11,2,1031,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,BF,Tac.mel,0.266,0.269,0.128,1.098,-1.97,-2.239,,0.79,12.59,2.789,29,5,24,5,Mid
195,128369,11,2,628,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,TF,Con.gui,1.184,1.203,0.587,1.05,-1.245,-1.66,,0.807,120.912,1.224,16,2,16,3,Mid
196,137892,13,1,1100,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.466,0.443,0.208,1.129,-0.998,-1.462,,0.8,36.183,1.673,23,2,20,3,Inf
197,138966,13,2,938,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,Burseraceae,BF,BF,Pro.opa,0.566,0.586,0.274,1.143,-2.008,-2.269,,0.848,28.723,8.051,16,4,15,3,Sup
198,140467,13,4,406,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,0.82,0.826,0.384,1.153,-1.13,-1.568,,0.18,44.527,2.449,22,2,18,3,Sup
199,140512,13,4,452,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,TF,Boc.pro,1.096,1.091,0.458,1.379,-1.255,-1.668,,0.762,49.756,1.506,25,4,22,4,Mid
200,138434,13,2,400,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,0.569,0.572,0.251,1.275,-0.998,-1.462,,0.811,23.945,2.544,26,4,24,4,Mid
201,137902,13,1,1110,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,0.614,0.627,0.281,1.227,-1.653,-1.985,,0.789,18.062,1.13,26,4,22,5,Sup
202,138104,13,2,68,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,0.734,0.742,0.289,1.567,-1.345,-1.74,,0.799,32.442,1.005,22,4,18,4,Mid
203,138158,13,2,122,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,2.484,2.514,0.924,1.722,-1.34,-1.736,,0.819,90.955,1.402,16,2,16,2,Sup
204,138157,13,2,121,Laetia,procera,Laetia procera,Salicaceae,BF,BF,Lae.pro,2.791,2.838,1.162,1.442,-1.465,-1.836,,0.824,59.405,4.044,27,4,25,4,Sup
205,138138,13,2,102,Iryanthera,hostmannii,Iryanthera hostmannii,Myristicaceae,BF,BF,Iry.hos,1.1,1.113,0.464,1.397,-1.223,-1.642,,0.803,62.638,1.007,13,2,8,2,Inf
206,138128,13,2,92,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,3.764,3.915,1.575,1.486,-1.455,-1.828,,0.821,152.338,1.304,20,2,16,3,Mid
207,138143,13,2,107,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,1.45,1.473,0.432,2.409,-1.308,-1.71,,0.747,44.037,1.419,23,2,17,3,Mid
208,138955,13,2,926,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,5.843,6.061,2.432,1.492,-1.323,-1.722,,0.828,145.48,1.928,18,2,16,3,Mid
209,137579,13,1,782,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,0.972,0.918,0.294,2.127,-1.475,-1.844,,0.782,28.972,2.996,30,5,22,4,Mid
210,137314,13,1,514,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,BF,Chr.pri,2.468,2.481,1.099,1.258,-1.973,-2.241,,0.81,123.896,2.969,18,3,16,3,Sup
211,137018,13,1,114,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,1.452,1.456,0.58,1.509,-1.455,-1.828,,0.831,132.995,3.036,17,2,12,3,Sup
212,137209,13,1,408,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.347,0.329,0.146,1.257,-1.103,-1.546,,0.801,13.014,12.383,16,2,14,2,Sup
213,138956,13,2,927,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,0.393,0.392,0.161,1.437,-1.525,-1.883,,0.817,17.062,4.346,16,2,14,3,Mid
214,137431,13,1,634,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.584,0.579,0.273,1.125,-1.07,-1.52,,0.819,22.432,8.834,27,3,22,3,Mid
215,137892,13,1,1100,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.841,0.825,0.372,1.222,-1.083,-1.53,,0.821,40.805,3.805,12,2,10,2,Mid
216,137869,13,1,1075,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,1.755,1.764,0.722,1.443,-1.073,-1.522,,0.814,63.87,1.561,25,3,19,3,Mid
217,226808,14,1,2936,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,TF,Tac.mel,0.237,0.232,0.099,1.345,-1.228,-1.646,,0.822,9.274,2.785,22,4,18,4,Sup
218,237384,14,1,2954,Casearia,javitensis,Casearia javitensis,Salicaceae,TF,TF,Cas.jav,2.121,2.157,1.126,0.917,-1.445,-1.82,,0.806,69.042,1.213,12,2,9,3,Mid
219,143348,14,3,118,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,BF,Tac.mel,0.341,0.351,0.137,1.557,-1.735,-2.051,,0.788,14.508,1.375,24,4,16,3,Mid
220,180531,14,3,2735,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,BF,Tac.mel,0.391,0.368,0.152,1.416,-1.52,-1.879,,0.843,19.869,2.513,20,4,16,4,Mid
221,138754,13,2,720,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,1.322,1.368,0.554,1.467,-1.5,-1.864,,0.804,26.96,3.56,18,3,15,3,Inf
222,138533,13,2,499,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,1.741,1.791,0.819,1.188,-1.61,-1.951,,0.759,83.856,1.678,28,4,23,3,Mid
223,138957,13,2,928,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,0.68,0.68,0.227,2.004,-1.275,-1.684,,0.811,39.23,2.043,21,4,21,4,Sup
224,138814,13,2,782,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.834,0.854,0.398,1.143,-1,-1.464,,0.798,22.308,9.493,18,2,16,2,Mid
225,138941,13,2,912,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,0.713,0.717,0.339,1.115,-1.395,-1.78,,0.808,49.24,5.381,11,2,9,3,Mid
226,138828,13,2,797,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,0.883,0.912,0.332,1.749,-1.365,-1.756,,0.832,46.562,3.658,18,2,15,2,Inf
227,138668,13,2,634,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,0.852,0.876,0.338,1.591,-1.123,-1.562,,0.836,23.408,2.802,23,3,20,3,Sup
228,138663,13,2,629,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,1.771,1.805,0.628,1.875,-1.478,-1.846,,0.736,24.407,2.263,27,4,26,4,Sup
229,138769,13,2,737,Pterocarpus,officinalis,Pterocarpus officinalis,Fabaceae,BF,BF,Pte.off,0.635,0.655,0.231,1.829,-1.043,-1.498,,0.828,31.786,1.38,25,4,25,4,Sup
230,141512,14,1,363,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,BF,Tac.mel,0.658,0.499,0.236,1.111,-1.538,-1.893,,0.829,21.155,2.067,32,5,20,4,Mid
231,141752,14,1,603,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,BF,Chr.pri,1.507,1.534,0.593,1.588,-1.633,-1.969,,0.819,85.042,1.596,25,4,18,3,Mid
232,137980,13,1,2803,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,BF,BF,Sym.glo,1.296,1.234,0.399,2.091,-1.198,-1.622,,0.761,46.06,1.564,22,5,18,4,Mid
233,138018,13,1,2841,Laetia,procera,Laetia procera,Salicaceae,BF,BF,Lae.pro,3.375,3.42,1.321,1.589,-1.38,-1.768,,0.816,65.613,2.529,22,4,20,4,Mid
234,137163,13,1,361,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,8.504,8.544,3.682,1.321,-1.565,-1.915,,0.789,262.367,3.724,16,2,12,3,Inf
235,137064,13,1,160,Virola,michelii,Virola michelii,Myristicaceae,Generalist,BF,Vir.mic,1.612,1.668,0.755,1.209,-2.035,-2.291,,0.751,66.093,13.774,28,4,26,5,Mid
236,137855,13,1,1061,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,BF,Jac.cop,0.4,0.4,0.13,2.085,-0.86,-1.352,,0.819,13.699,8.073,24,4,20,3,Inf
237,137648,13,1,853,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,BF,Chr.pri,2.79,2.869,1.235,1.323,-2.12,-2.359,,0.818,102.523,3.099,25,4,21,2,Inf
238,137705,13,1,910,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.361,0.37,0.172,1.148,-1.415,-1.796,,0.828,24.353,4.669,15,3,14,2,Sup
239,205863,13,3,2921,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.915,0.926,0.434,1.134,-1.145,-1.58,,0.808,32.358,2.182,16,3,16,3,Sup
240,141162,14,1,4,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,2.583,2.629,1.208,1.176,-1.135,-1.572,,0.794,95,1.906,21,3,16,4,Mid
241,146077,15,1,770,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,BF,Jac.cop,0.634,0.641,0.24,1.674,-0.933,-1.41,,0.796,14.658,8.45,27,5,26,4,Sup
242,146708,15,2,452,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,TF,Boc.pro,1.335,1.339,0.637,1.102,-1.468,-1.838,,0.758,50.166,2.586,26,3,21,4,Sup
243,146701,15,2,445,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,TF,Con.gui,3.578,3.665,1.639,1.237,-1.443,-1.818,,0.816,87.212,2.177,25,4,20,3,Sup
244,145292,14,4,2537,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,BF,Tac.mel,0.413,0.416,0.19,1.191,-1.455,-1.828,,0.753,10.866,2.143,26,4,16,4,Inf
