Code,DateField,Plot,Subplot,idTree,FieldNbr,Species_Name,Forest,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,CommentField,CommentLab,Site,Genus,Species,Habitat,FW,SW,DW,Comment_Lab,LSWC,FvFm,LA,gmin,Ptlp
344,2021-03-05T00:00:00Z,5,50,26245,12,Lae.pro,Bafog,25,4,25,4,sup,,,Bafog,Laetia,procera,BF,1.8524,1.9258,0.7633,,1.52299227040482,823,52.43649795,4.206456381,-1.8375325
345,2021-03-05T00:00:00Z,5,50,26247,15,Vir.sur,Bafog,28,4,24,3,inf,,,Bafog,Virola,surinamensis,BF,0.867699999999999,0.8713,0.3456,,1.52112268518519,779,29.03614152,5.08479506,-1.8615025
346,2021-03-05T00:00:00Z,5,49,26228,13,Sym.glo,Bafog,23,4,23,4,sup,,,Bafog,Symphonia,globulifera,BF,1.9791,2.0093,0.6857,,1.93029021437947,834,34.67426029,3.487546367,-1.7696175
347,2021-03-05T00:00:00Z,5,39,25915,8,Sym.glo,Bafog,34,5,29,4,inf,,,Bafog,Symphonia,globulifera,BF,1.4676,1.4929,0.524,,1.84904580152672,808,24.12301627,5.735952011,-1.6817275
348,2021-03-05T00:00:00Z,5,39,2529,39,Pte.off,Bafog,15,2,13,2,middle,,,Bafog,Pterocarpus,officinalis,BF,0.428700000000001,0.4435,0.1584,,1.79987373737374,869,24.85960754,2.178161114,-1.659755
349,2021-03-05T00:00:00Z,5,49,26218,3,Sym.glo,Bafog,35,5,29,3,middle,,,Bafog,Symphonia,globulifera,BF,1.4901,1.5237,0.4639,,2.28454408277646,871,60.10976889,2.073346706,-1.7216775
350,2021-03-05T00:00:00Z,5,47,26186,40,Iry.hos,Bafog,12,2,10,2,middle,,,Bafog,Iryanthera,hostmannii,BF,2.1981,2.2627,0.9762,,1.31786519155911,834,57.11465392,4.783588599,
351,2021-03-08T00:00:00Z,2,5,33274,38,Vou.ame,Bafog,14,2,12,2,middle,,,Bafog,Vouacapoua,americana,TF,1.2658,1.3277,0.6458,,1.05589965933726,792,55.25070603,8.229378227,-1.8575075
352,2021-03-08T00:00:00Z,2,5,840,17,Dic.gui,Bafog,23,3,15,3,middle,,,Bafog,Dicorynia,guianensis,TF,1.0413,1.0913,0.4272,,1.55454119850187,846,94.77194251,4.328074322,-1.3061975
353,2021-03-08T00:00:00Z,2,6,10608,24,Vou.ame,Bafog,22,2,20,3,middle,,,Bafog,Vouacapoua,americana,TF,0.541599999999999,0.5575,0.2778,,1.00683945284377,823,54.48971965,7.350989816,-1.6457725
354,2021-03-08T00:00:00Z,2,6,848,10,Vir.mic,Bafog,22,2,20,3,middle,,,Bafog,Virola,michelii,TF,1.4081,1.4731,0.4888,,2.01370703764321,806,64.41122954,3.839538572,-1.47998
