"","Code","idTree","Name","Genus","Species","Family","ptlp_Bartlett2012","ptlp_Marechaux2016","Name_Site","Habitat","Type","gmin","DateField","Plot","SubPlot","FieldNbr","midribVLA","SecondaryVLA","TertiaryVLA","MajVLA","%N","%C","%S","P (g/kg)","Fe (g/kg)","Mn (g/kg)","Mg (g/kg)","Al (g/kg)","Ca (g/kg)","Na (g/kg)","K (g/kg)","Cr (mg/kg)","Cu (mg/kg)","Ni (mg/kg)","Pb (mg/kg)","Rb (mg/kg)","Sr (mg/kg)","Zn (mg/kg)","LSWC","SD","fvfm"
"406","B434","25856","Tachigali_melinonii","Tachigali","melinonii","Fabaceae",-1.6918,-1.683725,"Bafog","BF","Generalist",3.596218,"2021-03-15T16:46:50Z","5","37","1",0.455408642,1.809596564,4.627647174,6.89265238,2.95,52.43,0.136,0.754385999308038,0.147374012993503,0.271170048309179,1.62479993336665,0.129403631517575,4.98145260702982,0.113737298017658,6.40042513358705,1.3200078369906,15.0705980343162,0.931606863235049,0,38.8755622188906,30.5816258537398,9.51774112943528,110.5125,391.156462585034,0.73
"407","B435","26217","Virola_surinamensis","Virola","surinamensis","Myristicaceae",-1.71468,-1.7056975,"Bafog","BF","BF",12.28747,"2021-03-15T16:46:50Z","5","49","2",0.463591472,2.590250265,7.419522706,10.47336444,1.64,52.97,0.157,0.779703784738216,0.112323053892216,0.146886859614105,2.75061111111111,0.126764803725882,9.38517298735862,0.103087990685296,9.44473587440504,0.997146048811468,8.53107119095143,1.43885994677312,0,33.248502994012,53.7369427811045,12.939121756487,162.4666,NA,0.795
"408","B436","25880","Virola_surinamensis","Virola","surinamensis","Myristicaceae",-1.63564,-1.6297925,"Bafog","BF","BF",NA,"2021-03-15T16:46:50Z","5","38","2",0.4969104825,2.894652947,8.882598697,12.274162125,1.74,51.35,0.185,0.9362950447853,0.0878287856071964,0.123044111277695,3.39741362652007,0.127504581042812,12.3277794436115,0.0451216058637348,10.4933786568254,1.39713677252283,11.592337164751,3.12164684324504,0,46.264367816092,97.9954189571881,23.4432783608196,148.3736,NA,0.723
"409","B437","25888","Virola_surinamensis","Virola","surinamensis","Myristicaceae",-1.5982,-1.5938375,"Bafog","BF","BF",3.294478,"2021-03-15T16:46:50Z","5","38","10",0.3650603825,2.2766152265,7.4158845115,10.0575601225,1.79,51.67,0.186,0.844574044219254,0.124299101796407,0.0897261809713906,3.42576081170991,0.114539254823686,14.6696041250832,0.0418105455755156,14.8389474512513,0.46625832426057,8.58346640053227,4.23958848968729,0,74.3013972055888,112.669078509647,16.2275449101796,217.7545,NA,0.816
"410","B438","26559","Tachigali_melinonii","Tachigali","melinonii","Fabaceae",-1.60028,-1.595835,"Bafog","BF","Generalist",2.545828,"2021-03-16T16:30:31Z","5","60","28",0.330408608,1.573476724,4.2727123355,6.1765976675,3.49,50.33,0.135,0.795752573742047,0.129120501253133,0.467574569757728,1.98607752715121,0.124078529657477,8.86109607351713,0.183152046783626,5.55751914401388,1.365168261563,8.5845948203843,1.80584728487886,0,33.6491228070175,33.4956558061821,12.937343358396,139.6169,NA,0.815
"411","B439","26915","Tachigali_melinonii","Tachigali","melinonii","Fabaceae",-1.52748,-1.5259225,"Bafog","BF","Generalist",3.035404,"2021-03-16T16:30:31Z","5","70","52",0.348451213,1.553229345,6.33288791,8.2345684685,2.69,47.57,0.106,0.550212979328364,0.0872604395604396,0.696259373959374,1.59551681651682,0.0933250083250083,7.62631701631702,0.179864302364302,4.82554979635749,1.47698335755154,10.255377955378,1.10864901764902,0,31.3811188811189,35.9534632034632,8.67632367632367,113.5172,NA,0.831
"412","B440","373713","Conceveiba_guianensis","Conceveiba","guianensis","Euphorbiaceae",-1.51084,-1.5099425,"Bafog","BF","Generalist",1.692948,"2021-03-16T16:30:31Z","5","90","42",0.1706968845,0.955528597,3.2211458855,4.347371367,2.24,50.76,0.12,1.08813099581397,0.0821245132301548,0.105647162589449,2.76796039274422,0.0697636878016309,12.2605525045765,0.22021384589782,5.43047962671377,2.50263389007398,10.0081211516059,0.475389582293227,0,19.5157264103844,69.6399567315693,13.2051922116825,156.0721,229.591836734694,0.82
"413","B441","26866","Laetia_procera","Laetia","procera","Salicaceae",-1.64396,-1.6377825,"Bafog","BF","BF",5.000671,"2021-03-16T16:30:31Z","5","69","29",0.1798691645,1.0716479375,4.7110479875,5.96256509,1.77,49.88,0.119,0.762382001307039,0.0863045477261369,0.12724201232717,2.49086689988339,0.0708329168748959,5.8560153256705,1.18000416458437,8.11956556337216,1.80405081550134,4.65580543061802,2.39367582875229,0,22.3988005997001,71.4087123105114,6.50674662668666,157.9956,NA,0.839
"414","B442","27788","Protium_stevensonii","Protium","stevensonii","Burseraceae",-1.9518,-1.9334125,"Bafog","BF","Generalist",2.597978,"2021-03-16T16:30:31Z","5","99","14",0.258619003,1.4291002395,2.4026311435,4.0903503855,1.5,47.74,0.193,0.669767844073803,0.0812946419629444,0.1451233183108,2.42675246202637,0.0845451510599233,4.32743448506093,1.38717492906026,8.15585913485613,2.0722587290026,6.50288766483058,2.02098915039225,0,25.8913370055083,38.3769821398765,9.72458688032048,114.6719,NA,0.842
"415","B443","27799","Iryanthera_hostmannii","Iryanthera","hostmannii","Myristicaceae",-1.57116,-1.56787,"Bafog","BF","BF",1.402743,"2021-03-16T16:30:31Z","5","99","27",0.244477011,1.148232919,2.2802994775,3.6730094075,1.68,51.17,0.19,0.60046412054879,0.155007715430862,0.207445524382098,1.67846927187709,0.16622578490314,4.19884101536406,0.236066299265197,5.01164864344073,2.27109252596101,8.25965263861055,0.341711088844355,0,27.6352705410822,118.080577822311,15.2154308617234,188.9096,306.122448979592,0.816
