Code,idTree,Genus,Species,Name,Forest,Habitat,Type,HabitatType,Gmin,FvFm,TLP,LA,SLA,LSWC,FW,SW,DW,Midrib VLA,2VLA,3VLA,MajVLA,MidribWidth,SecundaryWidth,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,LT,CC,LDMC,Xutm,Yutm,Latitude,Longitude,DBH,TWI
29,145356,Poraqueiba,guianensis,Poraqueiba_guianensis,Paracou,TF,TF,TFTF,1.79221452,0.8,-1.9893425,78.06562083,134.2487031,1.28288908,1.283,1.3275,0.5815,0.217286,1.105851,2.844089,4.167226,0.123420833,0.0488025,17,2,15,3,Mid,,,,"286,277.53","583,699.31",,,,
30,145769,Poraqueiba,guianensis,Poraqueiba_guianensis,Paracou,TF,TF,TFTF,2.2750488,0.787,-1.95139,102.5973792,212.1533895,1.604218362,1.2019,1.2594,0.4836,0.167561,0.924406,3.929562,5.021529,0.12253,0.033685,16,3,16,3,Mid,,,,"286,336.53","583,743.38",,,,
31,145376,Eschweilera,coriacea,Eschweilera_coriacea,Paracou,TF,Generalist,TFGeneralist,4.47778854,0.818,-1.6777325,87.99163333,231.4960098,1.854248882,1.0797,1.0849,0.3801,0.1929,1.085874,2.797206,4.07598,0.064273333,0.0277925,16,3,14,3,Mid,,,,"286,277.19","583,716.31",,,,
32,148668,Tachigali,melinonii,Tachigali_melinonii,Paracou,TF,Generalist,TFGeneralist,1.6769904,0.731,-1.60782,21.28220556,123.1609118,1.12962963,0.3568,0.368,0.1728,0.443632,1.626654,3.810253,5.880538,0.048345833,0.01675167,26,3,24,3,Mid,,,,"286,405.72","583,598.56",,,,
33,148907,Gustavia,hexapetala,Gustavia_hexapetala,Paracou,TF,TF,TFTF,2.0702412,0.769,-1.915435,46.37481528,121.9747903,2.253024724,1.1856,1.2368,0.3802,0.288801,1.223083,3.616188,5.128072,0.039638333,0.02742,20,3,20,3,Sup,,,,"286,456.97","583,580.44",,,,
34,102705,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Paracou,BF,BF,BFBF,5.14349396,0.804,-2.051265,111.0627111,104.5001045,1.074990591,2.16,2.2053,1.0628,0.169166,1.128698,1.778265,3.076129,0.107594167,0.03244417,23,4,20,4,Sup,,,,"286,529.09","583,184.06",,,,
35,149111,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Paracou,BF,BF,BFBF,2.25807517,0.83,-1.9334125,44.670475,58.60728811,1.197979533,1.668,1.6753,0.7622,0.266243,1.473116,2.682487,4.421845,0.081684167,0.02432,18,3,15,3,Mid,,,,"286,478.03","583,616.31",,,,
36,149208,Carapa,surinamensis,Carapa_surinamensis,Paracou,BF,BF,BFBF,2.31211551,0.806,-1.75164,192.6145207,78.17147755,1.237459416,5.4226,5.5131,2.464,0.146931,0.691496,1.078407,1.916833,0.159630533,0.04209838,17,4,16,3,Sup,,,,"286,490.88","583,605.75",,,,
37,227102,Pterocarpus,officinalis,Pterocarpus_officinalis,Paracou,BF,BF,BFBF,1.47849796,0.789,-1.5658725,33.2584125,176.6246017,2.206425916,0.6016,0.60377,0.1883,0.281982,1.342222,2.552225,4.176428,0.024168333,0.01048,16,3,15,4,Mid,,,,"286,477.63","583,563.44",,,,
38,148949,Pterocarpus,officinalis,Pterocarpus_officinalis,Paracou,BF,BF,BFBF,2.41711434,0.791,-1.8375325,83.63954861,137.6329581,1.60605562,1.5702,1.5837,0.6077,0.170547,0.870482,2.530198,3.571228,0.0677375,0.019315,17,4,14,4,Mid,,,,"286,484.56","583,561.38",,,,
