Code,idTree,Genus,Species,Name,Forest,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,DBH,Xutm,Yutm,TWI
543,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,14,3,12,3,Mid,14,355570.65,521677.68,8.174161
544,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,26,5,16,4,Mid,60,355581.87,521685.96,8.174161
545,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,25,5,24,5,Sup,40.5,355567.96,521659.44,8.813516
546,,Laetia,procera,Laetia_procera,Kaw,BF,BF,28,5,26,5,Sup,42.4,355568.87,521674.7,8.174161
547,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,16,4,10,3,Inf,34,355584.34,521700.55,8.174161
548,,Laetia,procera,Laetia_procera,Kaw,BF,BF,19,4,17,4,Sup,40.8,355583.44,521691.59,8.174161
549,,Laetia,procera,Laetia_procera,Kaw,BF,BF,15,4,13,4,Mid,27,355587.23,521704.74,8.174161
550,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,26,5,20,4,Mid,43,355580.47,521645.05,8.813516
551,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,37,5,34,5,Mid,50,355553.49,521632.71,8.813516
552,,Laetia,procera,Laetia_procera,Kaw,BF,BF,17,3,13,3,Inf,26,355573.68,521636.1,8.813516
553,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,14,3,10,3,Mid,14.2,355598.52,521628.76,8.813516
554,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,20,4,17,3,Mid,23.6,355595.17,521619.15,8.813516
555,,Laetia,procera,Laetia_procera,Kaw,BF,BF,27,5,27,5,Sup,26.4,355594.19,521628.66,8.813516
556,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,38,5,38,5,Sup,50,355562.32,521614.68,8.813516
