Code,Genus,Species,Name,Comment_bis,Count,ImageResolution,X10_echelle,X20_echelle,x40_echelle,StomataDensity,Comment,SD
480,Poraqueiba,guianensis,Poraqueiba guianensis,20,91,1392x1040,NA,0.2352,NA,386.9047619,,386.9047619047619
482,Poraqueiba,guianensis,Poraqueiba guianensis,20,98,1392x1040,NA,0.2352,NA,416.6666667,,416.6666666666667
488,Poraqueiba,guianensis,Poraqueiba guianensis,20,91,1392x1040,NA,0.2352,NA,386.9047619,,386.9047619047619
491,Poraqueiba,guianensis,Poraqueiba guianensis,20,27,1392x1040,NA,NA,0.0588,459.1836735,its x40,459.18367346938777
492,Poraqueiba,guianensis,Poraqueiba guianensis,20,76,1392x1040,NA,0.2352,NA,323.1292517,,323.1292517006803
496,Poraqueiba,guianensis,Poraqueiba guianensis,20,89,1392x1040,NA,0.2352,NA,378.4013605,,378.4013605442177
527,Poraqueiba,guianensis,Poraqueiba guianensis,20,132,1392x1040,NA,0.2352,NA,561.2244898,marche tres bien la reco sur cette epsèce,561.2244897959184
580,Poraqueiba,guianensis,Poraqueiba guianensis,20,100,1392x1040,NA,0.2352,NA,425.170068,joli,425.1700680272109
583,Poraqueiba,guianensis,Poraqueiba guianensis,20,73,1392x1040,NA,0.2352,NA,310.3741497,,310.374149659864
542,Protium,opacum,Protium opacum,20,173,1392x1040,NA,0.2352,NA,735.5442177,,735.5442176870748
543,Protium,opacum,Protium opacum,40,32,1392x1040,NA,NA,0.0588,544.2176871,,544.21768707483
547,Protium,opacum,Protium opacum,20,169,1392x1040,NA,0.2352,NA,718.537415,,718.5374149659864
550,Protium,opacum,Protium opacum,40,61,1392x1040,NA,NA,0.0588,1037.414966,,1037.4149659863947
553,Protium,opacum,Protium opacum,40,41,1392x1040,NA,NA,0.0588,697.2789116,,697.2789115646259
554,Protium,opacum,Protium opacum,40,57,1392x1040,NA,NA,0.0588,969.3877551,,969.3877551020408
576,Protium,stevensonii,Protium stevensonii,20,161,1392x1040,NA,0.2352,NA,684.5238095,,684.5238095238095
603,Protium,opacum,Protium opacum,20,152,1392x1040,NA,0.2352,NA,646.2585034,,646.2585034013606
606,Protium,opacum,Protium opacum,20,152,1392x1040,NA,0.2352,NA,646.2585034,,646.2585034013606
614,Pterocarpus,officinalis,Pterocarpus officinalis,20,64,1392x1040,NA,0.2352,NA,272.1088435,,272.108843537415
615,Pterocarpus,officinalis,Pterocarpus officinalis,20,86,1392x1040,NA,0.2352,NA,365.6462585,,365.6462585034014
617,Pterocarpus,officinalis,Pterocarpus officinalis,40,28,1392x1040,NA,0.2352,0.0588,476.1904762,,476.1904761904762
618,Pterocarpus,officinalis,Pterocarpus officinalis,20,83,1392x1040,NA,0.2352,NA,352.8911565,,352.89115646258506
619,Pterocarpus,officinalis,Pterocarpus officinalis,20,83,1392x1040,NA,0.2352,NA,352.8911565,,352.89115646258506
620,Pterocarpus,officinalis,Pterocarpus officinalis,20,79,1392x1040,NA,0.2352,NA,335.8843537,,335.8843537414966
621,Pterocarpus,officinalis,Pterocarpus officinalis,20,144,1392x1040,0.9408,0.2352,NA,612.244898,,612.2448979591837
622,Pterocarpus,officinalis,Pterocarpus officinalis,20,78,1392x1040,NA,0.2352,NA,331.6326531,,331.6326530612245
623,Pterocarpus,officinalis,Pterocarpus officinalis,20,104,1392x1040,NA,0.2352,NA,442.1768707,,442.17687074829934
624,Pterocarpus,officinalis,Pterocarpus officinalis,20,96,1392x1040,NA,0.2352,NA,408.1632653,,408.16326530612247
534,Symphonia,globulifera,Symphonia globulifera,20,65,1392x1040,NA,0.2352,NA,276.3605442,,276.3605442176871
535,Symphonia,globulifera,Symphonia globulifera,20,62,1392x1040,NA,0.2352,NA,263.6054422,,263.6054421768708
544,Symphonia,globulifera,Symphonia globulifera,20,60,1392x1040,NA,0.2352,NA,255.1020408,,255.10204081632654
556,Symphonia,globulifera,Symphonia globulifera,20,56,1392x1040,NA,0.2352,NA,238.0952381,,238.0952380952381
563,Symphonia,globulifera,Symphonia globulifera,20,69,1392x1040,NA,0.2352,NA,293.3673469,,293.36734693877554
605,Symphonia,globulifera,Symphonia globulifera,20,68,1392x1040,NA,0.2352,NA,289.1156463,,289.11564625850343
610,Symphonia,globulifera,Symphonia globulifera,20,65,1392x1040,NA,0.2352,NA,276.3605442,,276.3605442176871
611,Symphonia,globulifera,Symphonia globulifera,20,59,1392x1040,NA,0.2352,NA,250.8503401,,250.85034013605443
612,Symphonia,globulifera,Symphonia globulifera,20,59,1392x1040,NA,0.2352,NA,250.8503401,,250.85034013605443
613,Symphonia,globulifera,Symphonia globulifera,20,67,1392x1040,NA,0.2352,NA,284.8639456,,284.8639455782313
474,Tachigali,melinonii,Tachigali melinonii,20,83,1392x1040,NA,0.2352,NA,352.8911565,joli,352.89115646258506
475,Tachigali,melinonii,Tachigali melinonii,20,102,1392x1040,NA,0.2352,NA,433.6734694,,433.6734693877551
476,Tachigali,melinonii,Tachigali melinonii,20,98,1392x1040,NA,0.2352,NA,416.6666667,,416.6666666666667
497,Tachigali,melinonii,Tachigali melinonii,20,112,1392x1040,NA,0.2352,NA,476.1904762,,476.1904761904762
499,Tachigali,melinonii,Tachigali melinonii,20,106,1392x1040,NA,0.2352,NA,450.6802721,,450.68027210884355
503,Tachigali,melinonii,Tachigali melinonii,20,68,1392x1040,NA,0.2352,NA,289.1156463,written proopa,289.11564625850343
528,Tachigali,melinonii,Tachigali melinonii,20,127,1392x1040,NA,0.2352,NA,539.9659864,,539.9659863945578
572,Tachigali,melinonii,Tachigali melinonii,20,121,1392x1040,NA,0.2352,NA,514.4557823,,514.4557823129252
574,Tachigali,melinonii,Tachigali melinonii,20,134,1392x1040,NA,0.2352,NA,569.7278912,,569.7278911564626
575,Tachigali,melinonii,Tachigali melinonii,20,105,1392x1040,NA,0.2352,NA,446.4285714,,446.42857142857144
640,Tachigali,melinonii,Tachigali melinonii,20,103,1392x1040,NA,0.2352,NA,437.9251701,,437.9251700680272
641,Tachigali,melinonii,Tachigali melinonii,20,117,1392x1040,NA,0.2352,NA,497.4489796,,497.44897959183675
642,Tachigali,melinonii,Tachigali melinonii,20,176,1392x1040,NA,0.2352,NA,748.2993197,,748.2993197278912
