Calibration_Date,Contamination_Level,Date_Field,idTree,Plot,Subplot,Field_Nr,Species_Name,Code,idLeaf,Leaf_Health_Status,Leaf_Pheno_Status,Density_Section_Veins,Date_measure,User_initial,idVapro,Nr_Cycle,Nr_Run,C0,Comment,Posmo,Ptlp
04/03/2021,5,02/03/2021,15469,3,26,42,Con.gui,276,1,healthy,mature,ok,04/03/2021,PM,2,1,4,402,NA,-1.0050000000000001,-1.4679950000000002
04/03/2021,5,02/03/2021,3436,3,34,12,Pro.ste,277,1,healthy,mature,ok,04/03/2021,PM,2,1,3,763,NA,-1.9075,-2.1890925
04/03/2021,5,02/03/2021,3443,3,34,22,Hym.het,278,1,healthy,mature,ok,04/03/2021,PM,2,1,5,483,NA,-1.2075,-1.6297925000000002
04/03/2021,5,02/03/2021,15420,3,34,27,Tac.mel,279,1,healthy,mature,ok,04/03/2021,PM,2,1,6,569,NA,-1.4225,-1.8015775000000003
04/03/2021,5,02/03/2021,3445,3,35,1,Hym.het,280,1,herbivory,mature,ok,04/03/2021,PM,2,1,10,345,NA,-0.8625,-1.3541375000000002
04/03/2021,5,02/03/2021,3538,3,34,15,Por.gui,281,1,healthy,mature,ok,04/03/2021,PM,2,1,5,666,NA,-1.665,-1.995335
04/03/2021,5,02/03/2021,3519,3,41,2,Pro.ste,282,1,healthy,mature,ok,04/03/2021,PM,2,1,10,905,égal à 5,-2.2625,-2.4727375
04/03/2021,5,02/03/2021,42555,3,41,46,Dic.gui,283,1,healthy,mature,ok,04/03/2021,PM,2,1,3,430,NA,-1.075,-1.5239250000000002
04/03/2021,5,02/03/2021,42558,3,41,41,Dic.gui,284,1,healthy,mature,ok,04/03/2021,PM,2,1,5,396,NA,-0.99,-1.45601
04/03/2021,5,02/03/2021,5145,3,41,16,Por.gui,285,1,healthy,mature,ok,04/03/2021,PM,2,1,5,598,NA,-1.495,-1.8595050000000002
04/03/2021,5,02/03/2021,15563,3,41,29,Hym.het,286,1,herbivory,mature,ok,04/03/2021,PM,2,1,6,506,NA,-1.2650000000000001,-1.6757350000000002
04/03/2021,5,02/03/2021,15646,3,49,20,Esc.cor,287,1,herbivory,mature,ok,04/03/2021,PM,2,1,3,391,NA,-0.9775,-1.4460225000000002
04/03/2021,5,02/03/2021,15650,3,49,35,Hym.het,288,1,herbivory,mature,ok,04/03/2021,PM,2,1,3,455,NA,-1.1375,-1.5738625000000002
04/03/2021,5,02/03/2021,15562,3,41,27,Lic.mem,289,1,lichen traces,mature,ok,04/03/2021,PM,2,1,4,792,NA,-1.98,-2.24702
04/03/2021,5,02/03/2021,15560,3,41,24,Hym.het,290,1,herbivory,mature,ok,04/03/2021,PM,2,1,4,509,NA,-1.2725,-1.6817275
04/03/2021,5,03/03/2021,15763,3,60,21,Esc.cor,291,1,herbibory,mature,ok,04/03/2021,PM,2,1,4,466,NA,-1.165,-1.5958350000000001
04/03/2021,5,03/03/2021,15761,3,60,14,Iry.hos,292,1,healthy,mature,ok,04/03/2021,PM,2,1,10,362,NA,-0.905,-1.388095
04/03/2021,5,03/03/2021,15768,3,60,30,Iry.hos,293,1,healthy,mature,ok,04/03/2021,PM,2,1,10,374,NA,-0.935,-1.4120650000000001
04/03/2021,5,03/03/2021,3759,3,60,11,Esc.cor,294,1,healthy,mature,ok,04/03/2021,PM,2,1,3,491,NA,-1.2275,-1.6457725
04/03/2021,5,03/03/2021,43207,3,60,36,Car.sur,295,1,epiphytes,mature,ok,04/03/2021,PM,2,1,3,478,"moisissure dessus qui part au doigt, feuille tachetée de cela",-1.195,-1.6198050000000002
04/03/2021,5,03/03/2021,15775,3,61,23,Hym.het,296,1,herbibory,mature,ok,04/03/2021,PM,2,1,5,484,NA,-1.21,-1.63179
04/03/2021,5,03/03/2021,15765,3,60,26,Con.gui,297,1,healthy,mature,ok,04/03/2021,PM,2,1,3,510,NA,-1.2750000000000001,-1.6837250000000001
04/03/2021,5,03/03/2021,15776,3,61,24,Jac.cop,298,2,healthy,mature,ok,05/03/2021,CS,2,1,10,407,ok,-1.0175,-1.4779825
04/03/2021,5,03/03/2021,3659,3,53,9,Tac.mel,299,1,healthy,mature,ok,04/03/2021,PM,2,1,9,707,NA,-1.7675,-2.0772325
04/03/2021,5,03/03/2021,3762,3,61,2,Esc.cor,300,1,herbibory,mature,ok,04/03/2021,PM,2,1,4,447,NA,-1.1175,-1.5578825
04/03/2021,5,03/03/2021,5107,3,52,15,Esc.cor,301,1,healthy,mature,ok,04/03/2021,PM,2,1,8,441,NA,-1.1025,-1.5458975000000001
04/03/2021,5,03/03/2021,42935,3,52,80,Con.gui,302,1,healthy,mature,ok,04/03/2021,PM,2,1,3,566,NA,-1.415,-1.7955850000000002
04/03/2021,5,03/03/2021,4667,3,44,3,Hym.het,303,1,healthy,mature,ok,04/03/2021,PM,2,1,4,533,NA,-1.3325,-1.7296675000000001
04/03/2021,5,03/03/2021,42653,3,44,57,Sym.glo,304,1,healthy,mature,ok,04/03/2021,PM,2,1,7,444,NA,-1.11,-1.5518900000000002
