Code,DateField,Forest,idTree,Plot,Subplot,FieldNbr,Genus,Species,Name,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,Circ,DBH,CommentField,CommentLab
299,2021-03-03T00:00:00Z,Bafog,3659,3,53,9,Tachigali,melinonii,Tachigali_melinonii,BF,Generalists,27,4,20,3,Inf,141.371669,45.02282452,,
300,2021-03-03T00:00:00Z,Bafog,3762,3,61,2,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalists,25,2,20,2,Inf,117,37.2611465,,
301,2021-03-03T00:00:00Z,Bafog,5107,3,52,15,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalists,18,3,14,2,Inf,77.5,24.68152866,,
302,2021-03-03T00:00:00Z,Bafog,42935,3,52,80,Conceveiba,guianensis,Conceveiba_guianensis,BF,Generalists,15,2,15,2,Sup,41.5,13.21656051,,
303,2021-03-03T00:00:00Z,Bafog,4667,3,44,3,Hymenopus,heteromorphus,Hymenopus_heteromorphus,BF,Generalists,18,2,18,2,Sup,68,21.65605096,,
304,2021-03-03T00:00:00Z,Bafog,42653,3,44,57,Symphonia,globulifera,Symphonia_globulifera,BF,BF,15,3,15,3,Sup,53.5,17.03821656,,
305,2021-03-03T00:00:00Z,Bafog,15582,3,44,17,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalists,14,2,12,2,Inf,59,18.78980892,,
306,2021-03-03T00:00:00Z,Bafog,15586,3,44,24,Virola,michelii,Virola_michelii,BF,Generalists,26,4,23,4,Sup,90,28.66242038,,
307,2021-03-03T00:00:00Z,Bafog,42419,3,37,50,Virola,michelii,Virola_michelii,BF,Generalists,14,3,12,2,Inf,45.5,14.49044586,,
308,2021-03-03T00:00:00Z,Bafog,42426,3,37,57,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,11,2,9,2,Inf,48,15.2866242,,
309,2021-03-03T00:00:00Z,Bafog,4636,3,37,13,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalists,26,4,24,4,Mid,125.663706,40.02028854,,
310,2021-03-03T00:00:00Z,Bafog,4632,3,37,3,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalists,20,3,18,2,Inf,119,37.89808917,,
311,2021-03-03T00:00:00Z,Bafog,3475,3,37,17,Laetia,procera,Laetia_procera,BF,BF,28,5,26,5,Sup,108,34.39490446,,
312,2021-03-03T00:00:00Z,Bafog,15532,3,36,27,Hymenopus,heteromorphus,Hymenopus_heteromorphus,BF,Generalists,16,3,12,2,Inf,63.5,20.22292994,,
313,2021-03-04T00:00:00Z,Bafog,4556,3,21,1,Hymenopus,heteromorphus,Hymenopus_heteromorphus,BF,Generalists,15,2,13,2,Inf,75,23.88535032,TMS BF1,
314,2021-03-04T00:00:00Z,Bafog,5095,3,45,10,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalists,17,3,15,2,Mid,65.5,20.85987261,moche,
315,2021-03-04T00:00:00Z,Bafog,3466,3,36,17,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalists,18,3,14,3,Inf,108.5,34.55414013,D1 rare 78,
316,2021-03-04T00:00:00Z,Bafog,41772,3,20,49,Virola,michelii,Virola_michelii,BF,Generalists,11,3,10,3,Mid,38,12.10191083,,
317,2021-03-04T00:00:00Z,Bafog,41790,3,21,78,Chrysophyllum,prieurii,Chrysophyllum_prieurii,BF,Generalists,12,1,10,1,Sup,57,18.15286624,,
318,2021-03-04T00:00:00Z,Bafog,3258,3,21,3,Laetia,procera,Laetia_procera,BF,BF,28,4,28,4,Sup,113,35.98726115,,
319,2021-03-04T00:00:00Z,Bafog,15386,3,15,32,Licania,membranacea,Licania_membranacea,TF,TF,18,2,16,2,Mid,82.5,26.27388535,,
320,2021-03-04T00:00:00Z,Bafog,4518,3,14,2,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,TF,Generalists,24,3,20,3,Inf,83,26.43312102,,
321,2021-03-04T00:00:00Z,Bafog,41539,3,14,35,Tachigali,melinonii,Tachigali_melinonii,TF,Generalists,30,5,25,3,Inf,48,15.2866242,,
322,2021-03-04T00:00:00Z,Bafog,3060,3,6,8,Tachigali,melinonii,Tachigali_melinonii,TF,Generalists,30,5,28,5,Sup,94.2477796,30.01521643,,
323,2021-03-04T00:00:00Z,Bafog,,3,14,,Tachigali,melinonii,Tachigali_melinonii,TF,Generalists,29,5,22,4,Mid,,,1 tacmel supplémentaire non renseigne,
324,2021-03-04T00:00:00Z,Bafog,15309,3,6,17,Chrysophyllum,prieurii,Chrysophyllum_prieurii,TF,Generalists,17,2,14,2,Mid,78.5398163,25.01268035,,
325,2021-03-04T00:00:00Z,Bafog,15322,3,8,27,Protium,stevensonii,Protium_stevensonii,TF,Generalists,15,2,14,2,Mid,64,20.38216561,,
326,2021-03-04T00:00:00Z,Bafog,3096,3,8,15,Protium,stevensonii,Protium_stevensonii,TF,Generalists,26,3,20,2,Mid,128,40.76433121,,
327,2021-03-04T00:00:00Z,Bafog,15326,3,8,31,Virola,michelii,Virola_michelii,TF,Generalists,22,2,20,2,Sup,62,19.74522293,,
328,2021-03-04T00:00:00Z,Bafog,41941,3,24,68,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,13,3,12,2,Sup,34,10.82802548,,
329,2021-03-05T00:00:00Z,Bafog,26512,5,58,2,Virola,surinamensis,Virola_surinamensis,BF,BF,16,3,13,2,Mid,125.7,40.03184713,,
330,2021-03-05T00:00:00Z,Bafog,265510,5,57,57,Chrysophyllum,prieurii,Chrysophyllum_prieurii,BF,Generalists,15,2,12,2,Inf,45,14.33121019,,
331,2021-03-05T00:00:00Z,Bafog,26207,5,48,30,Virola,surinamensis,Virola_surinamensis,BF,BF,32,5,25,2,Inf,204.2,65.03184713,,
332,2021-03-05T00:00:00Z,Bafog,25882,5,38,4,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,38,5,30,3,Mid,157.1,50.03184713,,
333,2021-03-05T00:00:00Z,Bafog,25869,5,37,15,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,14,2,12,3,Sup,46.5,14.8089172,,
334,2021-03-05T00:00:00Z,Bafog,25857,5,37,2,Symphonia,globulifera,Symphonia_globulifera,BF,BF,38,5,31,3,Mid,172.8,55.03184713,,
335,2021-03-05T00:00:00Z,Bafog,26196,5,48,9,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,23,2,21,3,Mid,94.2,30,,
336,2021-03-05T00:00:00Z,Bafog,26197,5,48,11,Symphonia,globulifera,Symphonia_globulifera,BF,BF,22,3,20,2,Inf,78.5,25,,
337,2021-03-05T00:00:00Z,Bafog,26235,5,49,20,Symphonia,globulifera,Symphonia_globulifera,BF,BF,20,2,16,2,Inf,67.5,21.49681529,,
338,2021-03-05T00:00:00Z,Bafog,26224,5,49,9,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,23,2,20,2,Sup,94.2,30,,
339,2021-03-05T00:00:00Z,Bafog,26221,5,49,6,Virola,surinamensis,Virola_surinamensis,BF,BF,34,5,30,4,Sup,141.4,45.03184713,,
340,2021-03-05T00:00:00Z,Bafog,26562,5,60,32,Tachigali,melinonii,Tachigali_melinonii,BF,Generalists,25,4,23,2,Mid,73,23.24840764,,
341,2021-03-05T00:00:00Z,Bafog,26555,5,60,19,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,18,3,16,2,Mid,62.8,20,,
342,2021-03-05T00:00:00Z,Bafog,26257,5,50,43,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,26,3,22,2,Inf,57.5,18.31210191,,
343,2021-03-05T00:00:00Z,Bafog,25945,5,40,7,Laetia,procera,Laetia_procera,BF,BF,20,2,18,2,Sup,95,30.25477707,,
344,2021-03-05T00:00:00Z,Bafog,26245,5,50,12,Laetia,procera,Laetia_procera,BF,BF,25,4,25,4,Sup,149,47.4522293,,
345,2021-03-05T00:00:00Z,Bafog,26247,5,50,15,Virola,surinamensis,Virola_surinamensis,BF,BF,28,4,24,3,Inf,157.1,50.03184713,,
346,2021-03-05T00:00:00Z,Bafog,26228,5,49,13,Symphonia,globulifera,Symphonia_globulifera,BF,BF,23,4,23,4,Sup,110,35.03184713,,
347,2021-03-05T00:00:00Z,Bafog,25915,5,39,8,Symphonia,globulifera,Symphonia_globulifera,BF,BF,34,5,29,4,Inf,125.7,40.03184713,,
348,2021-03-05T00:00:00Z,Bafog,2529,5,39,39,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,15,2,13,2,Mid,51,16.24203822,,
349,2021-03-05T00:00:00Z,Bafog,26218,5,49,3,Symphonia,globulifera,Symphonia_globulifera,BF,BF,35,5,29,3,Mid,141.4,45.03184713,,
350,2021-03-05T00:00:00Z,Bafog,26186,5,47,40,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,12,2,10,2,Mid,34.5,10.98726115,,
351,2021-03-08T00:00:00Z,Bafog,33274,2,5,38,Vouacapoua,americana,Vouacapoua_americana,TF,TF,14,2,12,2,Mid,47.5,15.12738854,,
352,2021-03-08T00:00:00Z,Bafog,840,2,5,17,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,23,3,15,3,Mid,172.787596,55.02789682,,
353,2021-03-08T00:00:00Z,Bafog,10608,2,6,24,Vouacapoua,americana,Vouacapoua_americana,TF,TF,22,2,20,3,Mid,78.5398163,25.01268035,,
354,2021-03-08T00:00:00Z,Bafog,848,2,6,10,Virola,michelii,Virola_michelii,TF,Generalists,22,2,20,3,Mid,70,22.29299363,,
355,2021-03-08T00:00:00Z,Bafog,34450,2,14,41,Conceveiba,guianensis,Conceveiba_guianensis,TF,Generalists,15,2,14,2,Sup,40.5,12.89808917,,
356,2021-03-08T00:00:00Z,Bafog,10660,2,14,23,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,15,3,13,2,Mid,64,20.38216561,,
357,2021-03-08T00:00:00Z,Bafog,33463,2,15,36,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,13,3,12,3,Mid,39,12.42038217,,
358,2021-03-08T00:00:00Z,Bafog,852,2,6,15,Vouacapoua,americana,Vouacapoua_americana,TF,TF,26,5,21,3,Sup,125.663706,40.02028854,,
359,2021-03-08T00:00:00Z,Bafog,820,2,4,9,Conceveiba,guianensis,Conceveiba_guianensis,TF,Generalists,14,3,14,3,Mid,67,21.33757962,,
360,2021-03-08T00:00:00Z,Bafog,783,2,2,10,Bocoa,prouacensis,Bocoa_prouacensis,TF,Generalists,15,2,13,2,Mid,65.5,20.85987261,,
361,2021-03-08T00:00:00Z,Bafog,3826,2,3,9,Virola,michelii,Virola_michelii,TF,Generalists,29,5,21,3,Mid,128.5,40.92356688,,
362,2021-03-08T00:00:00Z,Bafog,33255,2,3,48,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,14,2,12,2,Sup,61,19.42675159,,
363,2021-03-08T00:00:00Z,Bafog,246162,2,3,66,Casearia,javitensis,Casearia_javitensis,TF,TF,11,2,11,2,Sup,34,10.82802548,,
364,2021-03-08T00:00:00Z,Bafog,925,2,10,24,Vouacapoua,americana,Vouacapoua_americana,TF,TF,32,5,25,3,Mid,116.5,37.10191083,,
365,2021-03-08T00:00:00Z,Bafog,908,2,10,1,Bocoa,prouacensis,Bocoa_prouacensis,TF,Generalists,12,2,12,2,Sup,56,17.8343949,,
366,2021-03-08T00:00:00Z,Bafog,33221,2,1,45,Vouacapoua,americana,Vouacapoua_americana,TF,TF,14,2,12,2,Mid,42,13.37579618,,
367,2021-03-09T00:00:00Z,Bafog,911,2,10,5,Virola,michelii,Virola_michelii,TF,Generalists,28,4,23,2,Inf,106,33.75796178,,
368,2021-03-09T00:00:00Z,Bafog,10635,2,10,29,Chrysophyllum,prieurii,Chrysophyllum_prieurii,TF,Generalists,18,2,16,4,Sup,73.5,23.40764331,,
369,2021-03-09T00:00:00Z,Bafog,33521,2,18,46,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,13,2,11,2,Inf,45.5,14.49044586,,
370,2021-03-09T00:00:00Z,Bafog,33527,2,18,52,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,10,3,9,4,Mid,40,12.7388535,,
371,2021-03-09T00:00:00Z,Bafog,1074,2,19,23,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,TF,Generalists,28,3,25,2,Inf,115,36.62420382,,
372,2021-03-09T00:00:00Z,Bafog,1073,2,19,22,Bocoa,prouacensis,Bocoa_prouacensis,TF,Generalists,24,2,21,3,Mid,109.955743,35.01775255,,
373,2021-03-09T00:00:00Z,Bafog,1082,2,20,9,Bocoa,prouacensis,Bocoa_prouacensis,TF,Generalists,24,3,20,4,Inf,98,31.21019108,,
374,2021-03-09T00:00:00Z,Bafog,33661,2,27,49,Chrysophyllum,prieurii,Chrysophyllum_prieurii,TF,Generalists,18,2,17,3,Inf,50,15.92356688,,
375,2021-03-09T00:00:00Z,Bafog,1061,2,19,9,Virola,michelii,Virola_michelii,TF,Generalists,23,3,20,2,Inf,103,32.80254777,,
376,2021-03-09T00:00:00Z,Bafog,33692,2,28,51,Chrysophyllum,prieurii,Chrysophyllum_prieurii,TF,Generalists,14,5,12,4,Inf,46,14.64968153,,
377,2021-03-09T00:00:00Z,Bafog,10873,2,44,37,Bocoa,prouacensis,Bocoa_prouacensis,TF,Generalists,12,1,11,2,Mid,59,18.78980892,,
378,2021-03-09T00:00:00Z,Bafog,10818,2,36,24,Virola,michelii,Virola_michelii,TF,Generalists,32,5,22,4,Inf,76.5,24.36305732,,
379,2021-03-09T00:00:00Z,Bafog,33880,2,37,50,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,14,2,13,3,Sup,33.5,10.66878981,,
380,2021-03-09T00:00:00Z,Bafog,34229,2,52,44,Casearia,javitensis,Casearia_javitensis,TF,TF,11,2,10,2,Mid,39,12.42038217,,
381,2021-03-09T00:00:00Z,Bafog,34016,2,43,33,Vouacapoua,americana,Vouacapoua_americana,TF,TF,12,2,10,2,Mid,36.5,11.62420382,,
382,2021-03-09T00:00:00Z,Bafog,1681,2,51,22,Bocoa,prouacensis,Bocoa_prouacensis,TF,Generalists,25,2,22,2,Mid,118,37.57961783,,
383,2021-03-09T00:00:00Z,Bafog,1787,2,57,4,Chrysophyllum,prieurii,Chrysophyllum_prieurii,TF,Generalists,19,4,16,3,Inf,97.5,31.05095541,,
384,2021-03-10T00:00:00Z,Bafog,25140,5,16,1,Tachigali,melinonii,Tachigali_melinonii,BF,Generalists,38,5,16,3,Inf,157.1,50.03184713,,
385,2021-03-10T00:00:00Z,Bafog,25118,5,15,23,Laetia,procera,Laetia_procera,BF,BF,25,4,21,4,Mid,150.5,47.92993631,,
386,2021-03-10T00:00:00Z,Bafog,24822,5,6,23,Tachigali,melinonii,Tachigali_melinonii,BF,Generalists,35,4,25,5,Inf,204.2,65.03184713,,
387,2021-03-10T00:00:00Z,Bafog,24775,5,4,48,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,13,2,11,2,Mid,38,12.10191083,,
388,2021-03-10T00:00:00Z,Bafog,373422,5,4,71,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,12,2,11,2,Mid,38,12.10191083,,
389,2021-03-10T00:00:00Z,Bafog,24790,5,5,12,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,30,5,28,4,Mid,157.1,50.03184713,,
390,2021-03-10T00:00:00Z,Bafog,24845,5,7,30,Conceveiba,guianensis,Conceveiba_guianensis,BF,Generalists,13,2,13,2,Sup,49.5,15.76433121,,
391,2021-03-10T00:00:00Z,Bafog,24842,5,7,21,Symphonia,globulifera,Symphonia_globulifera,BF,BF,30,5,25,2,Inf,94.2,30,,
392,2021-03-10T00:00:00Z,Bafog,25187,5,17,28,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,26,4,25,2,Inf,141.4,45.03184713,,
393,2021-03-10T00:00:00Z,Bafog,25264,5,19,34,Virola,michelii,Virola_michelii,BF,Generalists,21,3,20,3,Mid,53.5,17.03821656,,
394,2021-03-10T00:00:00Z,Bafog,25514,5,26,29,Laetia,procera,Laetia_procera,BF,BF,28,5,28,4,Sup,91.5,29.14012739,,
395,2021-03-10T00:00:00Z,Bafog,25526,5,26,53,Chrysophyllum,prieurii,Chrysophyllum_prieurii,BF,Generalists,13,4,11,4,Mid,63.5,20.22292994,,
396,2021-03-10T00:00:00Z,Bafog,25510,5,26,20,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,BF,Generalists,24,4,21,3,Inf,79.5,25.31847134,,
