Code,idTree,Name,Genus,Species,Family,TLP,ptlp_Marechaux2016,Forest,Habitat,Type,Gmin,DateField,Plot,SubPlot,FieldNbr,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA,Nitrogen,Carbon,X.S,Phosphorous,Fe..g.kg.,Mn..g.kg.,Mg..g.kg.,Al..g.kg.,Ca..g.kg.,Na..g.kg.,Potassium,Cr..mg.kg.,Cu..mg.kg.,Ni..mg.kg.,Pb..mg.kg.,Rb..mg.kg.,Sr..mg.kg.,Zn..mg.kg.,LSWC,SD,fvfm,Xutm,Yutm,Latitude,Longitude,DBH,TWI
184,127386,Poraqueiba_guianensis,Poraqueiba,guianensis,Metteniusaceae,-1.88108,-1.8654975,Paracou,TF,TF,6.345029966,12/11/2020,11,1,896,0.199412934,1.000994319,3.064714089,4.265121341,0.73,46.3,0.117,0.387818158,0.029667705,0.00427363,4.008744128,0.035231384,4.143564218,0.460833869,6.565307703,1.075811112,2.509852217,0.332133933,0,16.48675662,52.83944391,5.392303848,116.7065,365.3846154,0.809,"286,188.56","581,402.25",NA,NA,12.57961783,7.750878
186,226623,Jacaranda_copaia subsp. copaia,Jacaranda,copaia subsp. copaia,Bignoniaceae,-1.37148,-1.37611,Paracou,TF,Generalist,5.137738221,12/11/2020,11,1,2966,0.343924538,1.571534369,1.003420486,2.918879393,2.04,53.23,0.222,0.514344239,0.200157617,0.021081307,2.816156578,0.211184592,3.790531266,0.675201887,2.416298506,1.176842439,16.03812621,2.563591796,0,3.475237619,46.58915822,6.310655328,146.6009,291.6666667,0.831,"286,171.75","581,334.56",NA,NA,13.53503185,6.814266
187,184588,Jacaranda_copaia subsp. copaia,Jacaranda,copaia subsp. copaia,Bignoniaceae,-1.46716,-1.467995,Paracou,TF,Generalist,3.954570823,12/11/2020,11,4,2905,0.392978858,2.050731302,2.945324596,5.389034756,2.33,54.48,0.401,0.613814696,0.309752043,0.044093955,3.373495491,0.457819639,5.338062124,0.97381191,2.522635628,2.263468455,14.25361437,2.729784569,0,3.697895792,67.47581527,7.419839679,157.3353,269.2307692,0.8,"286,252.97","581,326.81",NA,NA,14.01273885,6.146863
189,129933,Virola_michelii,Virola,michelii,Myristicaceae,-2.05788,-2.035285,Paracou,TF,Generalist,1.690649251,12/11/2020,11,3,1044,0.29589733,1.883850961,4.320344039,6.50009233,1.47,49.01,0.439,0.503087067,0.056482538,0.097205767,3.5397485,0.030439,3.470136,0.578864286,5.011090357,1.324944018,7.052607143,6.33477,0,13.745,41.68336364,16.08,124.7359,NA,0.691,"286,251.44","581,275.13",NA,NA,33.43949045,6.146863
190,130118,Virola_michelii,Virola,michelii,Myristicaceae,-2.04748,-2.0252975,Paracou,TF,Generalist,2.921870409,12/11/2020,11,4,48,0.416310503,2.123851988,3.356086171,5.896248661,1.44,52.55,0.315,0.481868936,0.050382921,0.185691458,2.322070571,0.007061061,5.552938939,0.421786072,4.09268304,2.227403922,5.413020163,2.118898899,0,10.68068068,58.6995632,14.2992993,130.519,NA,0.776,"286,262.63","581,256.69",NA,NA,24.20382166,6.146863
191,129381,Poraqueiba_guianensis,Poraqueiba,guianensis,Metteniusaceae,-1.86652,-1.851515,Paracou,TF,TF,0.8888033,12/11/2020,11,3,468,0.259533658,1.189643466,3.713730031,5.162907154,1.17,56.68,0.276,0.432344411,0.125132671,0.011527294,5.403151652,0.173502503,6.619005005,0.61998427,3.153994351,3.658920438,4.492099242,9.198368368,0,7.452452452,91.13199563,9.604604605,140.6373,326.9230769,0.803,"286,188.59","581,251.63",NA,NA,14.17197452,6.814266
192,130018,Jacaranda_copaia subsp. copaia,Jacaranda,copaia subsp. copaia,Bignoniaceae,-1.23628,-1.2462725,Paracou,BF,Generalist,5.523594332,12/11/2020,11,3,2301,0.538209156,1.662745931,2.588450579,4.789405667,1.84,51.25,0.2,0.630326414,0.120516505,0.023478809,2.564619261,0.123207585,3.637111776,0.835193898,2.873593171,1.444589838,15.65379954,2.467215569,0,9.221556886,61.41802758,8.091317365,189.0049,214.7435897,0.816,"286,165.22","581,223.69",NA,NA,19.42675159,7.607164
193,129031,Virola_michelii,Virola,michelii,Myristicaceae,-1.7334,-1.723675,Paracou,TF,Generalist,2.450190952,12/11/2020,11,3,103,0.22977529,1.280254844,3.600907248,5.110937381,1.9,50.91,0.206,0.579666733,0.075307846,0.419224992,1.76151001,0.064418418,7.484870871,0.771635922,4.493333691,1.588017035,4.101708852,1.86467968,0,9.924924925,58.64951315,13.73873874,147.5944,NA,0.785,"286,134.56","581,279.19",NA,NA,26.27388535,6.814266
194,128754,Tachigali_melinonii,Tachigali,melinonii,Fabaceae,-2.27004,-2.23903,Paracou,BF,Generalist,2.334431337,12/11/2020,11,2,1031,0.576319429,2.227725585,3.901167415,6.705212429,2.98,53.65,0.147,0.682904163,0.095936602,0.133047719,1.454793706,0.043315684,2.328307692,0.1781861,6.831758599,1.931050467,14.0685386,1.103681319,0,37.28021978,16.83402961,12.31268731,109.8284,506.4102564,0.79,"286,344.44","581,401.88",NA,NA,40.76433121,10.254378
195,128369,Conceveiba_guianensis,Conceveiba,guianensis,Euphorbiaceae,-1.66684,-1.659755,Paracou,TF,Generalist,0.970206231,12/11/2020,11,2,628,0.124174735,0.493841139,1.613625163,2.231641037,1.86,45.55,0.105,0.711807548,0.116441435,0.087736426,3.319449875,0.079555112,11.96746733,0.089789811,3.219292127,3.988375579,6.182151763,0.447281796,0,3.467331671,127.8711857,7.346633416,105.0102,NA,0.807,"286,302.34","581,389.19",NA,NA,14.8089172,10.254378
116,138317,Iryanthera_hostmannii,Iryanthera,hostmannii,Myristicaceae,-1.76252,-1.75164,Paracou,BF,BF,1.01421372,13/11/2020,13,2,282,0.269953978,1.241736823,3.63687771,5.148568512,1.6,51.88,0.169,0.61670377,0.100382921,0.165821588,3.099347848,0.133437437,9.767153153,0.328442728,8.161752109,2.322589107,9.592199342,1.856291291,0,20.32532533,108.1990627,20.31031031,112.8575,134.6153846,0.739,"285,491.63","583,270.00",NA,NA,15.12738854,9.582552
