Code,Plot,Subplot,idTree,FieldNbr,Forest,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,CommentField,CommentLab,Genus,Species,spName,Habitat,pref Habitat,FW,SW,DW,Comment_Lab,LSWC,FvFm,LA,gmin,Ptlp,Leaf area,Midrib VLA,2VLA,3VLA,MajVLA,SubPlot,Family,PrefHabitat,Posmo,mean_Pmidday,Position_Crown,CodeFTH,Measure,SLA,LT,CC,LDMC,RWC,Xutm,Yutm,DBH,TWI
260,3,12,3145,8,Bafog,16,3,16,3,sup,,,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,1.1354,1.1625,0.4611,,1.521145088,819,52.97689757,3.152383564,-1.6018275,73.58045952,0.228983457,1.369379481,3.608846468,5.207209407,,,,,,,,,,,,,,,,,
261,3,12,41508,74,Bafog,19,3,15,3,middle,,erreur bota,Tachigali,melinonii,Tachigali_melinonii,TF,Generalist,0.6062,0.6354,0.2865,,1.217801047,795,33.4583101,3.155526319,,48.89117392,0.25007784,1.1971391,3.528420418,4.975637357,,,,,,,,,,,,,,,,,
262,3,4,15306,27,Bafog,18,3,14,2,inf,,,Eschweilera,coriacea,Eschweilera_coriacea,TF,Generalist,1.7937,1.8576,0.7143,,1.600587988,824,90.22750604,1.260178037,-1.6977075,127.6908591,0.187759572,0.930377771,2.008761995,3.126899338,,,,,,,,,,,,,,,,,
263,3,4,4472,5,Bafog,19,2,15,3,middle,,,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,1.8637,1.9693,0.8217,,1.39661677,823,71.31469356,2.75774181,-1.8095675,99.51603902,0.16518074,0.688407588,3.816633896,4.670222223,,,,,,,,,,,,,,,,,
264,3,5,5136,24,Bafog,23,3,18,3,inf,,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,1.3483,1.4108,0.5941,,1.374684397,740,85.23207752,1.779210437,-1.6657475,124.0598404,0.157814179,0.971776269,1.755710659,2.885301106,,,,,,,,,,,,,,,,,
265,3,5,41257,35,Bafog,12,3,11,3,middle,,,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,1.0487,1.0839,0.4137,,1.620014503,745,30.76050552,3.594979118,,40.59533463,0.374979679,1.728558663,3.670173772,5.773712114,,,,,,,,,,,,,,,,,
266,3,5,41269,49,Bafog,18,2,16,2,middle,,,Virola,michelii,Virola_michelii,BF,Generalist,0.4531,0.4763,0.1557,,2.05908799,805,48.57903591,3.922315412,-1.6577575,70.49786102,0.251165245,1.676556369,2.346609722,4.274331336,,,,,,,,,,,,,,,,,
267,3,12,41499,61,Bafog,11,2,11,2,sup,,,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,0.7092,0.7205,0.2562,,1.81225605,813,37.74955908,1.448602516,-1.4420275,50.66094258,0.270402247,1.247705797,1.703601772,3.221709816,,,,,,,,,,,,,,,,,
268,3,33,15511,22,Bafog,24,2,18,2,inf,,,Tachigali,melinonii,Tachigali_melinonii,TF,Generalist,0.3575,0.3239,0.1403,,1.308624376,830,19.77852647,4.261836488,-1.196335,25.05015924,0.376950406,1.45296868,4.46007962,6.289998706,,,,,,,,,,,,,,,,,
269,3,41,42545,36,Bafog,16,2,15,2,sup,,,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,0.9642,0.8529,0.3308,,1.578295042,826,34.29617385,11.89108407,-1.2862225,49.99943358,0.2833532,1.806486249,3.921951406,6.011790855,,,,,,,,,,,,,,,,,
270,3,33,15517,31,Bafog,18,2,16,2,middle,,,Eschweilera,coriacea,Eschweilera_coriacea,TF,Generalist,2.1137,2.0666,0.8264,,1.500726041,780,57.02177608,3.180323964,-1.6178075,82.95569318,0.193903642,1.140414513,3.032829827,4.367147982,,,,,,,,,,,,,,,,,
271,3,25,3316,14,Bafog,30,5,26,4,middle,,,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,1.8335,1.7333,0.7917,,1.189339396,842,68.38321757,11.03739711,-1.24827,95.44351736,0.177666414,1.261604327,2.731965569,4.17123631,,,,,,,,,,,,,,,,,
272,3,26,3320,1,Bafog,21,3,20,3,sup,,,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,1.0571,1.0315,0.4072,,1.533153242,837,46.48487679,5.04614153,-1.98335,63.20935258,0.22277448,0.917239443,5.542237129,6.682251052,,,,,,,,,,,,,,,,,
273,3,34,42291,46,Bafog,14,2,11,2,inf,erreur bota,erreur bota,,,,,,1.887,1.8619,0.7687,,1.422141277,833,61.57616717,3.274118193,,,,,,,,,,,,,,,,,,,,,,,
274,3,34,3433,8,Bafog,23,3,20,3,middle,,,Eschweilera,coriacea,Eschweilera_coriacea,TF,Generalist,1.1366,1.2278,0.553,,1.220253165,823,97.18143114,1.546773105,-1.6417775,137.6263821,0.176825915,0.937949942,2.490885408,3.605661265,,,,,,,,,,,,,,,,,
275,3,34,3431,5,Bafog,20,2,20,2,sup,,,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,3.0516,3.0723,1.2208,,1.51662844,827,64.23480097,4.626582484,-1.8974575,92.82967196,0.197386841,0.873189248,3.718514023,4.789090111,,,,,,,,,,,,,,,,,
276,3,26,15469,42,Bafog,20,2,16,3,middle,,,Conceveiba,guianensis,Conceveiba_guianensis,TF,Generalist,4.9068,4.9793,2.2084,,1.254709292,822,175.0524994,5.504476921,-1.467995,159.2562961,0.151443344,0.701698101,1.412441509,2.265582954,,,,,,,,,,,,,,,,,
277,3,34,3436,12,Bafog,22,3,18,3,middle,,,Protium,stevensonii,Protium_stevensonii,TF,Generalist,1.1402,1.1106,0.5134,,1.163225555,791,53.39195975,4.304087085,-2.1890925,77.71120925,0.221786171,1.132956093,1.910321145,3.265063409,,,,,,,,,,,,,,,,,
278,3,34,3443,22,Bafog,26,3,22,2,inf,,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,TF,Generalist,0.886,0.8847,0.4222,,1.095452392,832,47.98846753,3.736605841,-1.6297925,66.02222777,0.215676364,1.524869976,4.169367319,5.909913659,,,,,,,,,,,,,,,,,
279,3,34,15420,27,Bafog,33,5,28,3,inf,,,Tachigali,melinonii,Tachigali_melinonii,TF,Generalist,0.4246,0.3944,0.1895,,1.081266491,822,12.9531747,4.187390355,-1.8015775,18.81565887,0.470290348,1.645644463,5.00630263,7.122237441,,,,,,,,,,,,,,,,,
280,3,35,3445,1,Bafog,22,2,20,2,middle,,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,TF,Generalist,2.4001,2.4601,0.9937,,1.47569689,829,124.7532938,2.273588701,-1.3541375,179.8263876,0.137151842,1.052682223,6.910060412,8.099894477,,,,,,,,,,,,,,,,,
281,3,34,3438,15,Bafog,20,3,16,3,middle,,,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,1.7893,1.8171,0.6854,,1.651152612,825,37.58435023,8.410448919,-1.995335,54.26649636,0.241382444,0.943430708,5.942873781,7.127686934,,,,,,,,,,,,,,,,,
282,3,41,3519,2,Bafog,20,3,18,2,middle,,,Protium,stevensonii,Protium_stevensonii,TF,Generalist,0.9981,1.01,0.376,,1.686170213,759,35.5357001,7.038622408,-2.4727375,47.71689964,0.284547975,1.335576505,2.305217971,3.925342451,,,,,,,,,,,,,,,,,
283,3,41,42555,46,Bafog,18,2,16,2,sup,,,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,1.1445,1.1691,0.411,,1.844525547,840,143.8767788,6.078017352,-1.523925,208.9876317,0.130582644,1.024308456,2.443123837,3.598014936,,,,,,,,,,,,,,,,,
284,3,41,42558,41,Bafog,18,2,15,2,middle,,,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,1.1347,1.1299,0.4399,,1.568538304,826,115.3509235,5.396245905,-1.45601,163.8155997,0.142843184,0.954191125,2.446948817,3.543983126,,,,,,,,,,,,,,,,,
285,3,41,5145,16,Bafog,18,2,15,2,inf,,,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,1.8811,1.9425,0.8201,,1.368613584,816,67.81469804,4.355607612,-1.859505,98.97967997,0.184207255,0.84145399,4.076029398,5.101690644,,,,,,,,,,,,,,,,,
286,3,41,15563,29,Bafog,18,3,15,3,middle,,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,TF,Generalist,2.6413,2.694,1.1875,,1.268631579,806,109.1206815,2.437721626,-1.675735,158.1950641,0.150195268,1.136422247,4.556309442,5.842926957,,,,,,,,,,,,,,,,,
287,3,49,15646,20,Bafog,20,3,9,2,inf,,,Eschweilera,coriacea,Eschweilera_coriacea,TF,Generalist,4.0522,4.1251,1.6553,,1.492055821,813,143.0653389,3.499199655,-1.4460225,209.0089428,0.131234464,0.704200203,1.143494433,1.9789291,,,,,,,,,,,,,,,,,
288,3,49,15656,35,Bafog,18,2,16,2,middle,,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,TF,Generalist,0.9613,0.972,0.4146,,1.344428365,831,86.21392535,2.840721907,-1.5738625,123.055544,0.177725949,1.243694309,6.501581589,7.923001847,,,,,,,,,,,,,,,,,
289,3,41,15562,27,Bafog,24,5,22,4,middle,,,Licania,membranacea,Licania_membranacea,TF,TF,1.5038,1.5686,0.7558,,1.075416777,809,46.71542068,26.69126719,-2.24702,67.81913503,0.195522117,1.433447205,4.407683216,6.036652537,,,,,,,,,,,,,,,,,
290,3,41,15560,24,Bafog,17,4,14,3,middle,,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,TF,Generalist,2.3441,2.3732,0.8952,,1.651027703,822,104.7701962,2.483314693,-1.6817275,149.5037498,0.153594349,1.208677714,5.591125312,6.953397376,,,,,,,,,,,,,,,,,
291,3,60,15763,21,Bafog,17,3,16,3,middle,,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,3.3691,3.3128,1.3825,,1.396238698,819,,,-1.595835,179.8856528,0.139785607,0.844214897,2.718263655,3.702264158,,,,,,,,,,,,,,,,,
292,3,60,15761,14,Bafog,15,2,11,3,middle,,,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,1.4955,1.4814,0.6118,,1.421379536,812,,,-1.388095,84.79286843,0.223698874,1.197488981,2.72841352,4.149601376,,,,,,,,,,,,,,,,,
293,3,60,15768,30,Bafog,18,3,15,3,middle,fruit,,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,1.5064,1.5004,0.5342,,1.808685885,832,,,-1.412065,85.6504715,0.232934367,1.153159102,1.109327255,2.495420724,,,,,,,,,,,,,,,,,
294,3,60,3759,11,Bafog,24,3,22,2,middle,,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,3.0321,3.0423,1.2453,,1.443025777,829,,,-1.6457725,88.21712754,0.195595783,1.074740716,2.643870894,3.914207393,,,,,,,,,,,,,,,,,
295,3,60,43207,36,Bafog,20,4,18,3,sup,,,Carapa,surinamensis,Carapa_surinamensis,BF,BF,5.3088,5.3335,1.9643,,1.715216617,824,,,-1.619805,202.0735743,0.15333692,0.995949382,2.692105472,3.841391774,,,,,,,,,,,,,,,,,
296,3,61,15775,23,Bafog,23,3,17,2,inf,,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,BF,Generalist,2.4534,2.3279,0.8377,,1.778918467,824,,,-1.63179,191.268475,0.130598648,1.106538067,4.931482324,6.168619039,,,,,,,,,,,,,,,,,
297,3,60,15765,26,Bafog,20,2,19,2,sup,,,Conceveiba,guianensis,Conceveiba_guianensis,BF,Generalist,1.4883,1.5177,0.6006,,1.526973027,793,,,-1.683725,27.57552664,0.300192439,1.33355614,2.199107317,3.832855897,,,,,,,,,,,,,,,,,
298,3,61,15776,24,Bafog,24,2,24,3,sup,,,Jacaranda,copaia,Jacaranda_copaia subsp. copaia,BF,Generalist,0.6701,0.6472,0.2575,,1.513398058,841,,,,58.99951003,0.251166307,0.911851562,1.93336466,3.096382529,,,,,,,,,,,,,,,,,
298,3,61,15776,24,Bafog,24,2,24,3,sup,,,Jacaranda,copaia,Jacaranda_copaia subsp. copaia,BF,Generalist,0.6701,0.6472,0.2575,,1.513398058,841,,,-1.4779825,58.99951003,0.251166307,0.911851562,1.93336466,3.096382529,,,,,,,,,,,,,,,,,
299,3,53,3659,9,Bafog,27,4,20,3,inf,,,Tachigali,melinonii,Tachigali_melinonii,BF,Generalist,0.225,0.2153,0.088,,1.446590909,797,,,-2.0772325,21.61759412,0.412563725,1.72196364,4.805075961,6.939603326,,,,,,,,,,,,,,,,,
300,3,61,3762,2,Bafog,25,2,20,2,inf,,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,0.9044,0.8265,0.3489,,1.368873603,783,,,-1.5578825,112.2821651,0.178880324,1.073994023,3.234850811,4.487725157,,,,,,,,,,,,,,,,,
301,3,52,5107,15,Bafog,18,3,14,2,inf,,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,2.6328,2.6679,1.0724,,1.487784409,827,,,-1.5458975,132.318362,0.177751651,0.972599184,2.787565342,3.937916176,,,,,,,,,,,,,,,,,
302,3,52,42935,80,Bafog,15,2,15,2,sup,,,Conceveiba,guianensis,Conceveiba_guianensis,BF,Generalist,2.1353,2.2254,0.9232,,1.410528596,799,,,-1.795585,122.3061259,0.15476482,0.726739199,2.053142435,2.934646454,,,,,,,,,,,,,,,,,
303,3,44,4667,3,Bafog,18,2,18,2,sup,,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,BF,Generalist,2.1311,2.2856,0.8516,,1.68388915,780,,,-1.7296675,31.18411858,0.382735098,3.774415833,2.149554386,6.306705317,,,,,,,,,,,,,,,,,
304,3,44,42653,57,Bafog,15,3,15,3,sup,,,Symphonia,globulifera,Symphonia_globulifera,BF,BF,0.5701,0.5751,0.1785,,2.221848739,821,,,-1.55189,132.8596176,0.1500514,1.281879594,3.996350791,5.428281785,,,,,,,,,,,,,,,,,
305,3,44,15582,17,Bafog,14,2,12,2,inf,,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,0.9153,0.9473,0.3641,,1.601757759,816,,,-1.420055,85.51305731,0.227895915,1.112574512,2.993502592,4.333973019,,,,,,,,,,,,,,,,,
306,3,44,15586,24,Bafog,26,4,23,4,sup,,,Virola,michelii,Virola_michelii,BF,Generalist,1.2964,1.3418,0.5454,,1.460212688,816,,,-1.69571,73.57190291,0.261584337,1.305616731,,,,,,,,,,,,,,,,,,,
307,3,37,42419,50,Bafog,14,3,12,2,inf,,,Virola,michelii,Virola_michelii,BF,Generalist,0.9795,0.9322,0.3476,,1.681818182,819,,,-1.539905,28.32745252,0.435896288,1.980642693,3.374462904,5.791001885,,,,,,,,,,,,,,,,,
308,3,37,42426,57,Bafog,11,2,9,2,inf,,,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,1.7027,1.7457,0.7015,,1.48852459,819,,,-1.36812,70.77812917,0.216058789,1.063591803,2.686773265,3.966423857,,,,,,,,,,,,,,,,,
309,3,37,4636,13,Bafog,26,4,24,4,middle,,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,3.5213,3.4996,1.531,,1.285826257,834,,,-1.3781075,124.7204824,0.168617363,0.988331034,1.602514808,2.759463205,,,,,,,,,,,,,,,,,
310,3,37,4632,3,Bafog,20,3,18,2,inf,,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,2.4406,2.5276,1.1056,,1.28617945,752,,,-1.5059475,128.2863059,0.155390422,0.898752556,1.574655865,2.628798843,,,,,,,,,,,,,,,,,
311,3,37,3475,17,Bafog,28,5,26,5,sup,,,Laetia,procera,Laetia_procera,BF,BF,2.2352,2.3774,0.9248,,1.570717993,782,,,-2.1032,109.0212588,0.205074745,1.155749676,6.674885792,8.035710214,,,,,,,,,,,,,,,,,
312,3,36,15532,27,Bafog,16,3,12,2,inf,,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,BF,Generalist,2.4271,2.6084,1.1221,,1.324570003,800,,,-1.667745,157.4390996,0.145129423,1.158361109,5.552043465,6.855533997,,,,,,,,,,,,,,,,,
313,3,21,4556,1,Bafog,15,2,13,2,inf,TMS BF1,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,BF,Generalist,1.9651,2.0523,0.7932,,1.587367625,838,121.34009,3.556011964,-1.5419025,176.2061167,0.149827858,0.941276602,5.299033077,6.390137537,,,,,,,,,,,,,,,,,
314,3,45,5095,10,Bafog,17,3,15,2,middle,moche,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,2.9326,2.9557,1.2925,,1.286808511,751,117.3926609,3.761002573,-1.5458975,173.2862858,0.145492794,0.918175046,1.442346351,2.506014191,,,,,,,,,,,,,,,,,
315,3,36,3466,17,Bafog,18,3,14,3,inf,D1 rare 78,,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalist,1.7016,1.7169,0.783,,1.192720307,815,117.3268016,2.292559166,-1.44003,173.2119414,0.123183189,0.86519839,1.321028714,2.309410293,,,,,,,,,,,,,,,,,
316,3,20,41772,49,Bafog,11,3,10,3,middle,,,Virola,michelii,Virola_michelii,BF,Generalist,1.4531,1.4907,0.5586,,1.668635875,820,64.08340258,5.85039032,-1.34415,89.23854441,0.212429433,1.348423176,,,,,,,,,,,,,,,,,,,
317,3,21,41790,78,Bafog,12,1,10,1,sup,,,Chrysophyllum,prieurii,Chrysophyllum_prieurii,BF,Generalist,6.4003,6.508,2.4783,,1.625993625,831,246.1275857,13.11457765,-1.8135625,247.595374,0.131172454,0.726147929,2.727313185,3.584633569,,,,,,,,,,,,,,,,,
318,3,21,3258,3,Bafog,28,4,28,4,sup,,,Laetia,procera,Laetia_procera,BF,BF,1.4373,1.4713,0.6062,,1.42708677,805,45.85321727,2.46900944,-2.07124,62.57072764,0.26404709,1.703569706,5.559669403,7.527286199,,,,,,,,,,,,,,,,,
318,3,21,3258,3,Bafog,28,4,28,4,sup,,,Laetia,procera,Laetia_procera,BF,BF,1.4373,1.4713,0.6062,,1.42708677,805,45.85321727,2.46900944,-2.0173075,62.57072764,0.26404709,1.703569706,5.559669403,7.527286199,,,,,,,,,,,,,,,,,
319,3,15,15386,32,Bafog,18,2,16,2,middle,,,Licania,membranacea,Licania_membranacea,TF,TF,1.834,2.0055,0.8793,,1.280791539,908,58.64604702,6.426741493,-2.0252975,81.25509804,0.215999349,0.768855909,5.234495492,6.21935075,,,,,,,,,,,,,,,,,
320,3,14,4518,2,Bafog,24,3,20,3,inf,,,Jacaranda,copaia,Jacaranda_copaia subsp. copaia,TF,Generalist,0.4229,0.4323,0.1609,,1.686761964,892,27.2480831,3.118657891,-1.4659975,39.43289106,0.28585498,1.231683085,2.482594439,4.000132505,,,,,,,,,,,,,,,,,
321,3,14,41539,35,Bafog,30,5,25,3,inf,,,Tachigali,melinonii,Tachigali_melinonii,TF,Generalist,0.4847,0.498,0.2401,,1.074135777,774,15.08188516,3.88305035,-1.499955,18.13745186,0.386294854,1.669173123,4.752289008,6.807756985,,,,,,,,,,,,,,,,,
321,3,14,41539,35,Bafog,30,5,25,3,inf,,,Tachigali,melinonii,Tachigali_melinonii,TF,Generalist,0.4847,0.498,0.2401,,1.074135777,774,15.08188516,3.88305035,-1.9613775,18.13745186,0.386294854,1.669173123,4.752289008,6.807756985,,,,,,,,,,,,,,,,,
322,3,6,3060,8,Bafog,30,5,28,5,sup,,,Tachigali,melinonii,Tachigali_melinonii,TF,Generalist,0.4909,0.4831,0.237,,1.038396624,834,14.2415315,3.035935668,-1.6937125,20.78260076,0.474518709,1.714754731,4.633056386,6.822329827,,,,,,,,,,,,,,,,,
323,3,14,,,Bafog,29,5,22,4,middle,1 tacmel supplémentaire non renseigne,,Tachigali,melinonii,Tachigali_melinonii,TF,Generalist,0.1668,0.1714,0.0795,,1.155974843,836,9.714350531,4.816842614,-1.74365,10.34668275,0.56111579,2.043172962,5.09508766,7.699376412,,,,,,,,,,,,,,,,,
324,3,6,15309,17,Bafog,17,2,14,2,middle,,,Chrysophyllum,prieurii,Chrysophyllum_prieurii,TF,Generalist,4.3263,4.5033,1.8621,,1.418398582,826,91.89509847,1.544962656,-2.1091925,92.060519,0.210253044,1.251572975,1.645971986,3.107798005,,,,,,,,,,,,,,,,,
325,3,8,15322,27,Bafog,15,2,14,2,middle,,,Protium,stevensonii,Protium_stevensonii,TF,Generalist,0.905,0.9313,0.4937,,0.88636824,840,31.09320142,17.60484471,-2.21506,41.35053279,0.332060755,1.409685748,2.132892371,3.874638874,,,,,,,,,,,,,,,,,
326,3,8,3096,15,Bafog,26,3,20,2,middle,,,Protium,stevensonii,Protium_stevensonii,TF,Generalist,0.5393,0.5537,0.3082,,0.796560675,837,40.00416394,6.654341939,-2.46275,57.80827618,0.268121818,1.234412465,1.298897232,2.801431515,,,,,,,,,,,,,,,,,
327,3,8,15326,31,Bafog,22,2,20,2,sup,,,Virola,michelii,Virola_michelii,TF,Generalist,0.7458,0.798,0.2721,,1.932745314,811,57.18503684,4.37983885,-2.0173075,83.11545368,0.206607667,1.289266036,3.623156464,5.119030167,,,,,,,,,,,,,,,,,
328,3,24,41941,68,Bafog,13,3,12,2,sup,,,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,2.3466,2.4362,0.9188,,1.651501959,803,65.05065871,3.239326394,-2.019305,90.28416416,0.20015741,1.005337306,1.015934844,2.22142956,,,,,,,,,,,,,,,,,
329,5,58,26512,2,Bafog,16,3,13,2,middle,,,Virola,surinamensis,Virola_surinamensis,BF,BF,1.5986,1.6051,0.5933,,1.705376707,796,65.34446609,5.42286613,-1.388095,91.52847164,0.239011681,1.533674581,4.657167143,6.429853405,,,,,,,,,,,,,,,,,
330,5,57,265510,57,Bafog,15,2,12,2,inf,,,Chrysophyllum,prieurii,Chrysophyllum_prieurii,BF,Generalist,1.7812,1.8103,0.7661,,1.36300744,826,61.65016904,6.479841387,-1.9214275,61.70443808,0.295407469,2.258158461,3.20759328,5.76115921,,,,,,,,,,,,,,,,,
331,5,48,26207,30,Bafog,32,5,25,2,inf,,,Virola,surinamensis,Virola_surinamensis,BF,BF,1.2393,1.2683,0.4444,,1.853960396,814,63.16179152,3.183336311,-1.7935875,88.2846329,0.25708883,1.729264128,5.542160931,7.528513889,,,,,,,,,,,,,,,,,
332,5,38,25882,4,Bafog,38,5,30,3,middle,,,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,0.5388,0.5552,0.2055,,1.701703163,834,64.47955854,4.375465272,-1.547895,93.55779189,0.194315823,0.792567149,2.908860758,3.89574373,,,,,,,,,,,,,,,,,
333,5,37,25869,15,Bafog,14,2,12,3,sup,,,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,0.6363,0.6416,0.2795,,1.295527728,793,66.2067199,2.717551991,-1.4260475,93.29209081,0.208085657,1.071613192,1.105218389,2.384917238,,,,,,,,,,,,,,,,,
