Code,idTree,Plot,SubPlot,FieldNbr,Genus,Species,spName,Family,PrefHabitat,Habitat,FW,SW,DW,LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,Position_Crown,Forest,CodeFTH,Measure,SLA,LT,CC,LDMC,RWC,Xutm,Yutm,DBH,TWI,Leaf area,Midrib VLA,2VLA,3VLA,MajVLA
39,148940,15,4,237,Pterocarpus,officinalis,Pterocarpus_officinalis,Fabaceae,BF,BF,1.477,1.548,0.441,2.513,-1.673,-2.001,8.6,0.778,26.852,2.297,18,4,15,3,Sup,Paracou,,,,,,,,,,,,29.61182917,0.265364772,1.384169915,2.91897296,4.568507647
40,149391,15,4,690,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,BF,1.072,1.067,0.307,2.479,-1.588,-1.933,,0.819,14.063,2.338,14,3,12,3,Sup,Paracou,,,,,,,,,,,,15.29429583,0.508829663,1.81999025,3.042857857,5.37167777
41,181305,6,2,2924,Protium,opacum subsp. rabelianum,Protium_opacum,Burseraceae,BF,BF,2.385,2.411,1.163,1.073,-1.675,-2.003,8.025,0.815,95.184,3.831,18,2,15,3,Mid,Paracou,,,,,,,,,,,,105.0459083,0.199435544,1.247886425,1.811660417,3.258982387
42,102701,6,2,2354,Protium,opacum subsp. rabelianum,Protium_opacum,Burseraceae,BF,BF,2.703,2.774,1.271,1.182,-1.913,-2.193,9.277,0.837,98.325,3.092,25,2,22,3,Mid,Paracou,,,,,,,,,,,,108.0903222,0.189103003,1.080299801,1.862597995,3.132000799
43,178746,6,2,2901,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,11.763,11.982,5.663,1.116,-1.213,-1.634,9.897,0.814,145.987,1.72,19,4,19,4,Sup,Paracou,,,,,,,,,,,,159.3987569,0.142844112,0.629806868,0.990105521,1.762756501
44,205764,6,2,2961,Protium,opacum subsp. rabelianum,Protium_opacum,Burseraceae,BF,BF,2.592,2.63,1.158,1.271,-1.808,-2.109,9.55,0.804,57.859,7.998,15,4,14,4,Mid,Paracou,,,,,,,,,,,,63.67922639,0.276557806,1.456040938,4.097344828,5.829943571
45,145931,15,1,623,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,BF,2.401,2.441,1.027,1.377,-1.413,-1.794,16.14,0.781,35.891,2.311,12,4,11,4,Sup,Paracou,,,,,,,,,,,,39.31113611,0.259096823,0.962375475,2.118800457,3.340272755
46,145945,15,1,637,Symphonia,globulifera,Symphonia_globulifera,Clusiaceae,BF,BF,1.871,1.893,0.526,2.6,-1.353,-1.746,13.35,0.807,37.085,1.971,25,4,18,3,Mid,Paracou,,,,,,,,,,,,40.85487639,0.315004263,2.273956136,2.514744429,5.103704828
47,145883,15,1,575,Symphonia,globulifera,Symphonia_globulifera,Clusiaceae,BF,BF,0.724,0.725,0.229,2.164,-1.343,-1.738,9.91,0.785,21.743,1.839,32,4,25,3,Mid,Paracou,,,,,,,,,,,,23.90310833,0.386544522,3.788143279,1.878941876,6.053629677
48,145949,15,1,641,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Bignoniaceae,Generalist,BF,0.774,0.792,0.277,1.862,-0.855,-1.348,13.81,0.808,16.609,4.852,12,3,12,3,Sup,Paracou,,,,,,,,,,,,18.22708472,0.477211364,1.709754282,4.257318914,6.44428456
49,145666,15,1,357,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,6.043,6.261,2.757,1.271,-1.39,-1.776,5.503,0.764,180.296,2.814,16,3,14,3,Sup,Paracou,,,,,,,,,,,,178.1236222,0.142833042,0.605801957,0.85282141,1.601456409
50,147391,15,2,1136,Gustavia,hexapetala,Gustavia_hexapetala,Lecythidaceae,TF,TF,0.831,0.855,0.327,1.613,-1.835,-2.131,34.727,0.646,51.596,1.029,12,3,10,3,Sup,Paracou,,,,,,,,,,,,56.74726111,0.270928929,1.149195266,4.074534453,5.494658648
51,147235,15,2,980,Dicorynia,guianensis,Dicorynia_guianensis,Fabaceae,TF,TF,1.286,1.322,0.516,1.564,-1.175,-1.604,,0.749,51.602,7.764,15,3,14,4,Sup,Paracou,,,,,,,,,,,,56.22491111,0.249566677,1.198515154,3.015691404,4.463773235
