Code,FW,SW,DW,LSWC
37,0.6015999999999995,0.60377,0.1883,2.2064259160913435
38,1.5701999999999998,1.5837,0.6077,1.6060556195491198
39,1.4775,1.5478,0.4406,2.5129369042215166
40,1.0716999999999999,1.0673,0.3068,2.4788135593220337
41,2.3854000000000006,2.4108,1.1627,1.073449729078868
42,2.7027,2.774,1.2712,1.1821900566393957
43,11.763099999999998,11.9818,5.6629,1.1158417065461161
44,2.5918,2.6301,1.1582,1.270851321015369
45,2.4011000000000005,2.4412,1.0271,1.3767890176224322
46,1.8714000000000004,1.8928,0.5258,2.599847850893876
47,0.7241,0.7254,0.2293,2.163541212385521
48,0.7741999999999996,0.7924,0.2769,1.8616829180209467
49,6.043,6.2612,2.7571,1.2709368539407349
50,0.8311000000000002,0.8549,0.3272,1.6127750611246947
51,1.2858,1.322,0.5156,1.5640031031807606
52,0.6585999999999999,0.6744,0.3169,1.1281161249605554
53,1.7913000000000006,1.8178,0.9014,1.0166407810073221
54,0.7860999999999994,0.7872,0.3494,1.2530051516886092
55,0.44099999999999984,0.4445,0.1508,1.947612732095491
56,2.367399999999999,2.412,1.1394,1.1169036334913112
57,1.4860000000000007,1.4977,0.6843,1.1886599444688002
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,1.5733999999999995,1.6057,0.6868,1.3379440885264997
61,0.5321000000000007,0.5563,0.1524,2.650262467191601
62,1.8303999999999991,1.9036,0.9487,1.006535258775166
63,1.2508999999999997,1.2204,0.5701,1.140677074197509
64,1.7781000000000002,1.7966,0.5485,2.275478577939836
65,0.41219999999999946,0.4171,0.1961,1.1269760326364102
66,0.6176999999999992,0.6436,0.3306,0.9467634603750754
67,2.5092999999999996,2.5549,1.212,1.108003300330033
68,0.9906000000000006,0.9978,0.2849,NA
69,0.13680000000000003,0.1392,0.0648,1.1481481481481481
70,3.912600000000001,4.0048,1.6349,1.449568780965197
71,0.6126000000000005,0.6265,0.2234,1.8043867502238138
72,0.7887000000000004,0.7536,0.3013,1.501161632923996
73,2.0035999999999996,1.9545,0.8157,1.3961015079073187
74,1.1796999999999995,1.2386,0.4805,1.5777315296566077
75,1.2643999999999993,1.2732,0.5929,1.147411030527914
76,1.6579999999999995,1.7018,0.8363,1.0349157001076168
77,2.400899999999999,2.4311,0.9422,1.580237741456166
78,3.1529,3.2038,1.3696,1.3392231308411218
79,0.23459999999999948,0.2356,0.0655,2.596946564885496
80,2.4644000000000004,2.494,1.2706,0.962852195813002
81,1.5475000000000003,1.5322,0.7145,1.1444366689993002
82,0.9869999999999992,0.9612,0.3966,1.4236006051437216
83,1.3929999999999998,1.3848,0.5089,1.7211632933778738
84,1.4230999999999998,1.4192,0.6017,1.358650490277547
85,0.8388,0.8417,0.3595,1.3413073713490962
86,NA,NA,0.2834,NA
87,0.6330999999999998,0.6334,NA,NA
88,0.7597000000000005,0.7656,0.3002,1.5502998001332442
89,0.9713000000000003,0.9808,0.3483,1.8159632500717773
90,1.601799999999999,1.6491,0.6402,1.575913776944705
91,1.6944000000000008,1.6727,0.7144,1.3414053751399775
92,3.4560999999999993,3.5123,1.6636,1.1112647270978602
93,2.0635000000000003,2.0626,0.9552,1.1593383584589616
94,1.2641999999999998,1.336,0.5452,1.450476889214967
95,0.5144000000000002,0.5169,0.2418,1.1377171215880895
96,0.8244999999999996,0.8366,0.3239,1.5828959555418336
97,2.2061,2.2581,0.8881,1.5426190744285555
98,0.9222000000000001,0.9248,0.3666,1.5226404800872888
99,0.49710000000000054,0.4975,0.257,0.9357976653696497
100,2.9551,3.0119,1.1117,1.7092740847350905
101,1.9404000000000003,1.9568,0.8243,1.373893000121315
102,1.0455000000000005,1.055,0.4548,1.3197009674582234
103,3.0965999999999996,3.1212,1.3033,1.394843857899179
104,0.6202000000000005,NA,NA,NA
105,1.3756000000000004,1.3465,0.7079,0.9021048170645573
106,1.021,0.9128,0.351,1.6005698005698006
107,2.2627000000000006,2.2573,0.9832,1.2958706265256303
108,0.5831999999999997,0.5751,0.3242,0.7739049969154842
109,0.5946999999999996,0.5861,0.3202,0.830418488444722
110,1.5352800000000002,1.5565,0.7543,1.063502585178311
111,1.7603000000000009,1.6989,0.7521,1.2588751495811727
112,0.4218000000000002,0.4187,0.2136,0.9602059925093632
113,1.7026000000000003,1.6986,0.4942,2.437070012140834
114,0.7660999999999998,0.7705,0.363,1.1225895316804406
115,0.3521000000000001,0.3116,0.1406,1.216216216216216
116,2.242799999999999,2.2548,1.0593,1.128575474369867
117,2.9502999999999995,3.0216,1.2982,1.3275304267447232
118,2.2585999999999995,2.2711,0.9865,1.302179422199696
119,6.4289,6.5701,2.4308,1.7028550271515552
120,2.6356,2.7163,1.0459,1.5970934123721194
121,1.1741000000000001,1.1667,0.4727,1.468161624709118
122,1.3123000000000005,1.3192,0.4678,1.8200085506626762
123,1.0418000000000003,1.0601,0.4885,1.1701125895598774
124,2.780999999999999,2.822,1.4052,1.0082550526615428
125,0.7437000000000005,0.752,0.3724,1.0193340494092373
126,0.8483999999999998,0.8366,0.4407,0.8983435443612435
127,2.6297999999999995,2.6377,1.0341,1.5507204332269608
128,0.8693,0.8606,0.349,1.4659025787965618
129,0.9219999999999997,0.9315,0.4033,1.3096950161170344
130,1.1584000000000003,0.5791,0.5821,NA
131,2.2317,2.2531,0.936,1.4071581196581195
132,0.5979000000000001,0.6017,0.2786,1.1597272074659009
133,0.8621999999999996,0.9097,0.3209,1.8348395138672482
134,0.6733000000000002,0.9538,0.4268,1.23477038425492
135,0.8835000000000006,0.913,0.4585,0.9912758996728462
136,0.5689000000000002,0.5593,0.207,1.7019323671497588
137,0.42129999999999956,0.407,0.1396,1.9154727793696273
138,4.282500000000001,4.3345,1.7737,1.4437616282347636
139,1.4579999999999993,1.4531,0.5437,1.6726135736619463
140,1.0728999999999997,1.1088,0.5012,1.2122905027932962
141,0.2629999999999999,0.2674,0.1146,1.333333333333334
142,1.8290999999999995,1.842,0.7909,1.3289922872676696
143,1.6469999999999994,1.659,0.71,1.3366197183098594
144,3.8415999999999997,3.909,1.4664,1.6657119476268412
145,0.4745999999999997,0.4686,0.2279,1.056164984642387
146,0.9266999999999994,0.9432,0.4496,1.097864768683274
147,1.3233999999999995,0.4408,0.1863,1.3660762211486852
148,2.4588,2.5144,0.8473,1.967543963177151
149,0.5892,0.5886,0.2375,1.4783157894736845
150,1.6078999999999999,1.6255,0.7684,1.1154346694429984
151,2.1961000000000004,2.241,0.876,1.5582191780821921
152,1.7852999999999994,1.791,0.9693,0.8477251624883935
153,1.0381,0.9955,0.4264,1.3346622889305817
154,0.6863999999999999,0.6431,0.2269,1.8342882327016308
155,2.8051999999999992,2.7082,1.359,0.9927888153053718
156,1.4580000000000002,1.4794,0.6754,1.190405685519692
157,1.1506999999999996,1.167,0.5011,1.3288764717621235
158,1.9061000000000003,1.9132,0.8265,1.314821536600121
159,1.3631000000000002,1.3997,0.6197,1.2586735517185732
160,0.9823000000000004,1.0508,0.3861,1.7215747215747215
161,1.1573000000000002,1.2013,0.4946,1.4288313788920342
162,0.42300000000000004,0.4275,0.1923,1.2230889235569422
163,0.2696999999999994,0.2794,0.123,1.2715447154471544
164,0.6247999999999996,0.5806,0.2898,1.0034506556245686
165,2.255299999999999,2.308,0.8963,1.5750306816913977
166,2.4307000000000007,2.4783,1.0602,1.3375778155065081
167,1.9959999999999996,2.0445,0.9561,1.138374647003452
168,0.5599999999999996,0.573,0.2513,1.2801432550736167
169,0.40580000000000016,0.4223,0.1857,1.2740980075390416
170,0.6859999999999999,0.6889,0.2607,1.642500958956655
171,0.6570999999999998,0.6449,0.2776,1.3231268011527377
172,1.9966000000000008,2.0086,0.9661,1.0790808404927026
173,0.6520999999999999,0.6544,0.2628,1.4901065449010655
174,0.9079000000000006,0.9028,0.4019,1.2463299328191095
175,1.3924000000000003,1.4232,0.5538,1.5698808234019503
176,1.544200000000001,1.5213,0.578,1.6320069204152252
177,0.6602000000000006,0.6747,0.2207,2.0570910738559127
178,0.6420000000000003,0.6619,0.214,2.092990654205608
179,0.8365999999999998,0.8407,0.3776,1.2264300847457628
180,0.9463999999999997,0.9776,0.4055,1.4108508014796548
181,0.6600000000000001,0.6641,0.2723,1.438854204921043
182,0.6008000000000004,0.6039,0.1588,2.802896725440806
183,1.5260999999999996,1.548,0.7144,1.1668533034714446
184,1.7951999999999995,1.8121,0.8362,1.1670652953838794
185,1.0428000000000006,1.0563,0.4227,1.4989354151880765
186,0.9294000000000002,0.925,0.3751,1.4660090642495336
187,0.3433999999999999,0.3438,0.1336,1.5733532934131738
188,0.5076999999999998,0.511,0.1848,1.7651515151515156
189,0.6318999999999999,0.6596,0.2935,1.2473594548551958
190,0.9554,0.9638,0.4181,1.3051901458981103
191,2.7494999999999994,2.8015,1.1642,1.4063734753478785
192,0.41110000000000024,0.4153,0.1437,1.8900487125956855
193,2.0078999999999994,2.0122,0.8127,1.4759443829211272
194,0.26619999999999955,0.269,0.1282,1.0982839313572543
195,1.1837999999999997,1.203,0.5868,1.0501022494887526
196,0.4663000000000004,0.4425,0.2078,1.129451395572666
197,0.5660999999999996,0.5863,0.2736,1.1429093567251463
198,0.8204000000000002,0.8263,0.3838,1.1529442417926006
199,1.096,1.0906,0.4584,1.379144851657941
200,0.5685000000000002,0.572,0.2514,1.2752585521081938
201,0.6137999999999995,0.6265,0.2813,1.2271596160682543
202,0.7341999999999995,0.7417,0.2889,1.567324333679474
203,2.4841999999999995,2.5142,0.9238,1.721584758605759
204,2.7909999999999995,2.838,1.162,1.4423407917383824
205,1.1004000000000005,1.113,0.4644,1.3966408268733852
206,3.7638999999999996,3.915,1.5747,1.4861878453038675
207,1.4497999999999998,1.4735,0.4322,2.4093012494215644
208,5.843,6.0613,2.4323,1.4920034535213582
209,0.9724000000000004,0.9184,0.2937,2.1270003404834865
210,2.4684999999999997,2.4814,1.0989,1.258076258076258
211,1.4520999999999997,1.456,0.5803,1.5090470446320867
212,0.34690000000000065,0.3286,0.1456,1.2568681318681318
213,0.3929999999999998,0.3924,0.161,1.4372670807453418
214,0.5836000000000006,0.5792,0.2726,1.12472487160675
215,0.8409999999999993,0.8254,0.3715,1.2218034993270526
216,1.7547999999999995,1.7638,0.722,1.4429362880886427
217,0.2372999999999994,0.2317,0.0988,1.3451417004048583
218,2.1212,2.1574,1.1255,0.916836961350511
219,0.34079999999999977,0.3506,0.1371,1.5572574762946756
220,0.3905000000000003,0.3679,0.1523,1.4156270518713068
