Code,idTree,RWCnr_myData,spName_CorrBota,LSWC_E.per,RWC_E.per,My_LSWC_E.per_corr,My_RWC_E.per_corr,posm,ptlp,gmin.my.function,gmin_manual_Clement,Name_Project
147,142081,M147,Eperua_falcata,1.366.076,4.467.976,1.366.076,NA,-1.095,-1.54,3.359.372.826,3.598,Metradica
148,138144,M148,Laetia_procera,1.967.544,966.649,1.967.544,966.649,-1.248,-1.662,224.852.397,1.224,Metradica
149,138122,M149,Pterocarpus_officinalis,1.478.316,1.001.709,1.478.316,100,-1.19,-1.616,1.326.605.279,1.236,Metradica
150,138083,M150,Bocoa_prouacensis,1.115.435,979.466,1.115.435,979.466,-1.86,-2.151,2.542.502.853,1.838,Metradica
151,141222,M151,Poraqueiba_guianensis,1.558.219,967.106,1.558.219,967.106,-1.743,-2.057,1.477.259.905,3.181,Metradica
152,141631,M152,Casearia_javitensis,847.725,993.063,847.725,993.063,-1.823,-2.121,5.120.952.634,6.939,Metradica
153,141607,M153,Dicorynia_guianensis,1.334.662,1.074.855,1.334.662,NA,-1.29,-1.696,6.912.539.134,7.8,Metradica
154,141857,M154,Iryanthera_sagotiana,1.834.288,1.104.037,NA,NA,-1.193,-1.618,1.799.009.133,2.49,Metradica
155,141969,M155,Bocoa_prouacensis,992.789,1.071.894,992.789,NA,-975,-1.444,769.948.688,7.901,Metradica
156,144042,M156,Poraqueiba_guianensis,1.190.406,973.383,1.190.406,973.383,-1.765,-2.075,1.905.161.037,2.133,Metradica
157,143500,M157,Protium_opacum subsp. rabelianum,1.328.876,975.522,1.328.876,975.522,-2.023,-2.281,NA,NA,Metradica
158,144184,M158,Iryanthera_hostmannii,1.314.822,993.466,1.314.822,993.466,-1.25,-1.664,1.566.311.588,2.135,Metradica
159,143542,M159,Eschweilera_coriacea,1.258.674,953.077,1.258.674,953.077,-1.278,-1.686,1.256.467.981,1.323,Metradica
160,143554,M160,Poraqueiba_guianensis,1.721.575,896.946,1.721.575,896.946,-1.693,-2.017,4.620.092.189,4.662,Metradica
161,143929,M161,Chrysophyllum_prieurii,1.428.831,937.739,1.428.831,937.739,-1.93,-2.207,1.223.507.821,1.279,Metradica
162,143947,M162,Jacaranda_copaia subsp. copaia,1.223.089,980.867,1.223.089,980.867,-1.113,-1.554,6.827.647.577,6.723,Metradica
163,143969,M163,Tachigali_melinonii,1.271.545,93.798,1.271.545,93.798,-1.58,-1.927,3.090.604.881,3.124,Metradica
164,143250,M164,Bocoa_prouacensis,1.003.451,1.151.994,1.003.451,NA,-1.515,-1.875,2.452.152.864,3.719,Metradica
165,143346,M165,Laetia_procera,1.575.031,962.669,1.575.031,962.669,-1.74,-2.055,949.749.382,1.124,Metradica
166,143641,M166,Poraqueiba_guianensis,1.337.578,966.434,1.337.578,966.434,-1.443,-1.818,1.593.210.582,1.59,Metradica
