Code,spName,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA
121,Iry.sag,0.2759185155,1.3017882410000001,3.77000639,5.3477131465
154,Iry.sag,0.26269221249999997,1.2952377880000001,3.3806354065,4.9385654070000005
170,Iry.sag,0.377409131,2.0682526575,6.721798679,9.1674604675
12,Jac.cop,0.3548206135,1.4524235115,3.8340464279999997,5.641290553
48,Jac.cop,0.47721136350000004,1.7097542825,4.257318914,6.44428456
55,Jac.cop,0.383943828,1.5842094405,4.9248328805,6.8929861495
61,Jac.cop,0.3245452745,1.415417382,3.8380023995,5.5779650565
71,Jac.cop,0.424135451,1.480993373,4.065846443,5.970975267
79,Jac.cop,0.410317053,1.80199693,5.0591104915,7.271424474
135,Jac.cop,0.3761604115,1.5869389,2.7494402605,4.7125395725
162,Jac.cop,0.3300261955,1.7274393455000001,2.8169099495,4.8743754905
168,Jac.cop,0.39115368650000004,1.007191569,2.229195103,3.6275403585
174,Jac.cop,0.35436530050000004,1.82360001,0.9635401429999999,3.1415054534999998
177,Jac.cop,0.48342046299999997,1.7995446875,5.559386678499999,7.842351829
180,Jac.cop,0.3050346525,1.28805999,1.9477421709999998,3.5408368135000003
186,Jac.cop,0.343924538,1.5715343685,1.003420486,2.918879393
187,Jac.cop,0.392978858,2.0507313015,2.945324596,5.3890347555
188,Jac.cop,0.3442815205,1.4061502875,1.546755517,3.2971873250000003
192,Jac.cop,0.538209156,1.662745931,2.588450579,4.7894056665
236,Jac.cop,0.43505987749999997,1.9463178415,2.289339358,4.670717077000001
241,Jac.cop,0.411324034,2.0652307155000003,3.4137460835000004,5.8903008329999995
77,Lae.pro,0.211595752,1.2912092755,5.4679834255,6.970788453
97,Lae.pro,0.183899436,1.3140429605000001,4.935295034999999,6.433237432
131,Lae.pro,0.1726137055,1.2342689070000001,4.139716036499999,5.5465986485
138,Lae.pro,0.150675805,0.906621933,2.480291942,3.5375896805
148,Lae.pro,0.16637232000000002,0.965685276,1.5749695895,2.7070271850000003
165,Lae.pro,0.1498475165,1.0095423075,3.4261684505,4.5855582735
204,Lae.pro,0.1977718735,1.1539656200000001,5.199888093,6.5516255865
233,Lae.pro,0.1744205975,1.095355626,2.7639126640000002,4.0336888875
7,Lic.mem,0.2094532025,1.0842903795,1.3812403115,2.6749838935000003
74,Lic.mem,0.1818068645,0.7074893125,3.0945827085,3.983878885
94,Lic.mem,0.232575213,1.280719927,3.344658025,4.8579531645
114,Lic.mem,0.29421893200000004,1.7094025015,4.2853364295,6.2889578625
146,Lic.mem,0.3971866295,1.8619883485,4.8350996955,7.094274673499999
29,Por.gui,0.2172859325,1.105850618,2.8440890265,4.1672255765
30,Por.gui,0.16756111,0.9244058340000001,3.9295617739999997,5.021528718
101,Por.gui,0.2757853855,1.309822604,5.077607958,6.6632159474999995
107,Por.gui,0.1966357355,1.115899073,3.1032927519999998,4.4158275605
140,Por.gui,0.23386042099999999,1.1103458824999999,3.0955708370000004,4.4397771405
151,Por.gui,0.1990926235,1.089156934,3.838488915,5.126738473
156,Por.gui,0.2091832325,1.0107810135,3.3074537399999997,4.527417986
160,Por.gui,0.260763445,1.256630627,3.4047438330000004,4.922137905
166,Por.gui,0.17969516400000002,0.986224133,3.2553125415000004,4.421231839000001
184,Por.gui,0.1994129335,1.000994319,3.0647140884999997,4.265121341
191,Por.gui,0.2595336575,1.1896434660000001,3.713730031,5.162907154
34,Pro.opa,0.169165744,1.1286983715,1.7782647295,3.0761288455
35,Pro.opa,0.266242894,1.4731157229999998,2.6824866155000002,4.4218452325
41,Pro.opa,0.1994355445,1.2478864255,1.8116604170000001,3.2589823865
42,Pro.opa,0.189103003,1.080299801,1.8625979945000002,3.132000799
44,Pro.opa,0.2765578065,1.4560409375,4.097344827500001,5.8299435715
54,Pro.opa,0.2045542345,1.3372487135,3.4569797485000002,4.998782696
128,Pro.opa,0.2093235095,1.060842208,2.7037041295,3.9738698465
143,Pro.opa,0.20699293600000002,1.2213031540000001,2.5667031375000002,3.9949992275
157,Pro.opa,0.34455464950000003,1.751753425,4.200868001,6.2971760754999995
197,Pro.opa,0.344929591,1.861012003,3.1743560005,5.380297595
66gmin,Pro.ste,0.4517562515,1.6951442605,1.139637129,3.2865376415
87,Pro.ste,0.2459111615,1.2419909585,4.151390511000001,5.639292631
110,Pro.ste,0.2453701115,1.0225801345,3.3801782885,4.6481285345
145,Pro.ste,0.34593597200000004,1.5191184795,3.6645099004999997,5.5295643514999995
37,Pte.off,0.2819821645,1.342221577,2.5522245685,4.17642831
38,Pte.off,0.1705472185,0.870482339,2.5301982499999998,3.5712278079999997
39,Pte.off,0.26536477150000004,1.3841699155,2.9189729599999996,4.568507647
