Code,Site,Genus,Species,Weight_mg_CNS,%N,%C,%S,Remark Sample,Weight_g_trace,P (g/kg),Fe (g/kg),Mn (g/kg),Mg (g/kg),Al (g/kg),Ca (g/kg),Na (g/kg),K (g/kg),Cr (mg/kg),Cu (mg/kg),Ni (mg/kg),Pb (mg/kg),Rb (mg/kg),Sr (mg/kg),Zn (mg/kg),Commentaires
676,FTH.Paracou,Chrysophyllum,prieurii,7.683,2.28,51.93,0.125,NA,0.2,0.774799852941177,0.0435416,0.0208567777777778,1.63765565625,0.0229591666666667,8.89885510714286,0.2129809375,7.85364085294118,1.18482975,7.99208333333333,0.01817396875,0,33.555,94,8.4,NA
677,FTH.Paracou,Chrysophyllum,prieurii,7.624,2.49,51.66,0.14,NA,0.2003,0.85501732695075,0.399327608587119,0.0199268874466079,1.38358028582127,0.0336437011149942,6.52906151487055,0.209566587618572,6.69859296349593,54.4453067898153,9.11840572474621,1.67187865077384,0,22.3664503245132,83.3250124812781,7.93060409385921,NA
678,FTH.Paracou,Virola,michelii,7.549,2.27,52.83,0.38,NA,0.1998,0.840640493434611,0.0425991991991992,0.155517295072851,2.52618183808809,0.0284376042709376,6.18003514228514,0.263544481981982,8.82746832126244,0.984832082082082,7.98256589923257,0.716027496246246,0,61.2612612612613,49.0465465465466,20.4704704704705,NA
679,FTH.Paracou,Conceveiba,guianensis,8.257,2.19,47.12,0.16,NA,0.2001,0.814892406737808,0.109796701649175,0.0760237658948304,2.6023544790105,0.110738797268033,13.2772164988934,0.0790414167916042,4.48140015286474,1.95925262368816,6.45385640513077,0.229341797851074,0,13.8780609695152,116.341829085457,9.12293853073463,NA
680,FTH.Paracou,Protium,picramnioides,7.847,1.1,44.11,0.11,NA,0.2005,0.579850227372745,0.0538419950124688,0.0631538930451649,1.92334728802993,0.0311512884455528,2.4088330245814,0.0791829800498753,8.18318289570192,3.87849850374065,4.0120532003325,0.596520168329177,0,25.0598503740648,25.4488778054863,8.28428927680798,NA
681,FTH.Paracou,Virola,surinamensis,8.474,1.78,52.75,0.162,NA,0.2001,0.944327689096628,0.0767632183908046,0.102710422566495,3.10260435407296,0.00697068132600367,8.08981020204184,0.0284467141429285,8.48939615486374,4.63083599866733,4.5048309178744,0.260331303098451,0,56.271864067966,107.396301849075,12.1089455272364,NA
682,FTH.Paracou,Virola,surinamensis,7.766,2.11,52.78,0.224,NA,0.1995,0.959699100692909,0.0762923308270677,0.059560679476469,3.36857709899749,0.0614979114452799,8.52015549588256,0.0448630952380952,11.5274595016954,2.56289448621554,6.4030910609858,3.15174082080201,0,59.4987468671679,91.1779448621554,13.5839598997494,NA
683,FTH.Paracou,Virola,michelii,8.184,2.84,51.99,0.428,NA,0.1997,0.692338360481899,0.156210916374562,0.319390864073889,3.5194348084627,0.146989651143382,8.74196805923171,1.50518872058087,4.82487817019647,1.9591209313971,10.1448005341345,2.81890983350025,0,18.6229344016024,109.263895843766,19.6044066099149,NA
684,FTH.Paracou,Virola,michelii,8.363,2,52.95,0.314,NA,0.2,0.485849852941176,0.1806016,0.310961777777778,2.31715565625,0.168644166666667,10.0388551071429,0.7539309375,3.84939085294118,2.75000725,7.67708333333334,2.38672646875,0,10.5,78.85,19.75,NA
685,FTH.Paracou,Protium,stevensonii,7.838,1.21,48.2,0.125,NA,0.1527,0.584151739281174,0.125968041912246,0.0481686676853671,1.51690328258022,0.0424743505784763,1.87407348676209,0.0862880648330059,9.40228009553527,13.6110343811395,3.66612093429382,0.660001923706614,0,26.1165684348396,18.762278978389,9.31892599869024,masse disponible pour la minéralisation inférieure aux 200 mg requis
