Date,Code,spName,idSample,Rec,FVFM,...7
2020-11-13T00:00:00Z,148,Lae.pro,P13-C2-108-Lae.pro-148,3302,0.805,NA
2020-11-13T00:00:00Z,149,Pte.off,P13-C2-86-Pte.off-149,3303,0.828,NA
2020-11-13T00:00:00Z,150,Boc.pro,P13-C2-47-Boc.pro-150,3304,0.75,NA
2020-11-06T00:00:00Z,151,Por.gui,P14-C1-64-Por.gui-151,3256,0.828,NA
2020-11-06T00:00:00Z,152,Cas.jav,P14-C1-482-Cas.jav-152,3257,0.727,NA
2020-11-06T00:00:00Z,153,Dic.gui,P14-C1-458-Dic.gui-153,3258,0.834,NA
2020-11-06T00:00:00Z,154,Iry.sag,P14-C1-708-Iry.sag-154,3259,0.805,NA
2020-11-06T00:00:00Z,155,Boc.pro,P14-C1-820-Boc.pro-155,3260,0.752,NA
2020-11-09T00:00:00Z,156,Por.gui,P14-C3-814-Por.gui-156,3262,0.822,NA
2020-11-09T00:00:00Z,157,Pro.opa,P14-C3-271-Pro.opa-157,3263,0.795,NA
2020-11-09T00:00:00Z,158,Iry.hos,P14-C3-2659-Iry.hos-158,3264,0.801,NA
2020-11-09T00:00:00Z,159,Esc.cor,P14-C3-314-Esc.cor-159,3265,0.812,NA
2020-11-09T00:00:00Z,160,Por.gui,P14-C3-326-Por.gui-160,3266,0.813,NA
2020-11-09T00:00:00Z,161,Chr.pri,P14-C3-701-Chr.pri-161,3267,0.802,NA
2020-11-09T00:00:00Z,162,Jac.cop,P14-C3-719-Jac.cop-162,3268,0.794,NA
2020-11-09T00:00:00Z,163,Tac.mel,P14-C3-741-Tac.mel-163,3269,0.802,NA
2020-11-09T00:00:00Z,164,Boc.pro,P14-C3-20-Boc.pro-164,3270,0.805,NA
2020-11-09T00:00:00Z,165,Lae.pro,P14-C3-116-Lae.pro-165,3271,0.822,NA
2020-11-09T00:00:00Z,166,Por.gui,P14-C3-413-Por.gui-166,3272,0.778,NA
2020-11-09T00:00:00Z,167,Esc.cor,P14-C3-649-Esc.cor-167,3273,0.8,NA
2020-11-09T00:00:00Z,168,Jac.cop,P14-C3-2679-Jac.cop-168,3274,0.795,NA
2020-11-09T00:00:00Z,169,Tac.mel,P14-C3-2682-Tac.mel-169,3275,0.83,NA
2020-11-09T00:00:00Z,170,Iry.sag,P14-C3-593-Iry.sag-170,3276,0.817,NA
2020-11-13T00:00:00Z,171,Hym.het,P13-C4-669-Hym.het-171,3305,0.829,NA
2020-11-13T00:00:00Z,172,Con.gui,P13-C4-2830-Con.gui-172,3306,0.817,NA
2020-11-13T00:00:00Z,173,Hym.het,P13-C4-2501-Hym.het-173,3307,0.843,NA
2020-11-12T00:00:00Z,174,Jac.cop,P11-C2-2966-Jac.cop-174,3282,0.821,NA
2020-11-09T00:00:00Z,175,Dic.gui,P14-C3-26-Dic.gui-175,3277,0.834,NA
2020-11-13T00:00:00Z,176,Con.gui,P13-C2-79-Con.gui-176,3308,0.805,NA
2020-11-12T00:00:00Z,177,Jac.cop,P11-C2-558-Jac.cop-177,3283,0.822,NA
2020-11-12T00:00:00Z,178,Pte.off,P11-C4-2848-Pte.off-178,3299,0.817,NA
2020-11-12T00:00:00Z,179,Hym.het,P11-C2-2979-Hym.het-179,3284,0.829,NA
2020-11-12T00:00:00Z,180,Jac.cop,P11-C2-2972-Jac.cop-180,3285,0.783,NA
2020-11-12T00:00:00Z,181,Hym.het,P11-C4-994-Hym.het-181,3286,0.842,NA
2020-11-12T00:00:00Z,182,Pte.off,P11-C4-1032-Pte.off-182,3287,0.809,NA
2020-11-12T00:00:00Z,183,Con.gui,P11-C2-196-Con.gui-183,3288,0.803,NA
