Code RWC,idTree,idLeaf,NrRunLeaf,spName,statusLeaf,phenoLeaf,DenseSecVeins,idVapro,NrRunVapro,C_0,comment storag/disc/run/health/pheno,P_osmo,P_tlp
204,NA,1,1,Lae.pro,healthy,mature,ok,1,10,586,NA,-1.465,-1.8355350000000001
205,NA,1,1,Iry.hos,herbivory,mature,ok,1,7,489,feuille noire,-1.2225,-1.6417775
206,NA,1,1,Car.sur,herbivory,mature,ok,1,8,582,NA,-1.455,-1.8275450000000002
207,NA,1,1,Sym.glo,healthy,mature,no,2,4,523,NA,-1.3075,-1.7096925000000003
208,926,1,1,Car.sur,healthy,mature,ok,2,6,529,NA,-1.3225,-1.7216775000000002
209,NA,1,1,Sym.glo,healthy,mature,no,2,9,590,NA,-1.475,-1.843525
210,NA,1,1,Chr.pri,healthy,mature,ok,2,6,789,NA,-1.9725000000000001,-2.2410275000000004
211,NA,1,1,Con.gui,healthy,mature,ok,2,4,582,NA,-1.455,-1.8275450000000002
212,NA,1,1,Hym.het,healthy,mature,ok,2,4,441,NA,-1.1025,-1.5458975000000001
213,927,1,1,Epe.fal,healthy,mature,ok,2,8,610,NA,-1.5250000000000001,-1.8834750000000002
214,NA,1,1,Hym.het,herbivory,mature,ok,2,3,428,NA,-1.07,-1.51993
215,NA,1,1,Hym.het,herbivory,mature,ok,2,6,433,NA,-1.0825,-1.5299175000000003
216,NA,1,1,Esc.cor,herbivory,mature,ok,2,6,429,NA,-1.0725,-1.5219275
217,NA,1,1,Tac.mel,healthy,mature,ok,1,4,491,NA,-1.2275,-1.6457725
218,NA,1,2,Cas.jav,healthy,mature,ok,1,8,578,NA,-1.445,-1.8195550000000003
219,NA,1,1,Tac.mel,healthy,mature,ok,1,8,694,NA,-1.735,-2.051265
220,NA,1,1,Tac.mel,healthy,mature,ok,1,6,608,NA,-1.52,-1.87948
221,720,1,1,Pte.off,healthy,mature,ok,2,8,600,NA,-1.5,-1.8635000000000002
